"","Fold Change","log2(FC)"
"354.84_861.4855m/z",0.30135,-1.7305
"586.29_766.6927m/z",0.30297,-1.7227
"82.33_555.212m/z",0.30305,-1.7224
"582.87_746.6344m/z",0.30361,-1.7197
"573.51_947.7141m/z",0.30403,-1.7177
"527.09_608.6342m/z",0.30508,-1.7127
"TG(44:1)",0.30521,-1.7121
"123.28_586.3509m/z",0.30527,-1.7118
"582.87_740.6771m/z",0.30533,-1.7116
"74.34_505.1962m/z",0.30703,-1.7035
"TG(46:1)",0.30766,-1.7006
"573.29_944.7636m/z",0.3081,-1.6985
"603.17_524.4754m/z",0.30949,-1.692
"606.7_794.7243m/z",0.30979,-1.6907
"413.48_524.4758m/z",0.31,-1.6897
"625.41_947.6716m/z",0.31,-1.6897
"615.83_509.4568m/z",0.31055,-1.6871
"77.08_391.1552m/z",0.31092,-1.6854
"634.09_828.7149m/z",0.31094,-1.6853
"573.06_921.6993m/z",0.31099,-1.685
"533.48_689.5697m/z",0.3126,-1.6776
"93.28_507.2118m/z",0.31264,-1.6774
"571.69_993.775m/z",0.31352,-1.6734
"606.7_795.7277m/z",0.31416,-1.6704
"603.86_774.6676m/z",0.31575,-1.6632
"596.1_550.4914m/z",0.31632,-1.6606
"LPI(0:0/18:0)",0.31663,-1.6592
"563.47_738.6611m/z",0.31825,-1.6517
"609.22_804.7171m/z",0.31931,-1.647
"472.22_868.7343m/z",0.31932,-1.6469
"634.08_827.7118m/z",0.32067,-1.6408
"586.29_768.6988m/z",0.32084,-1.6401
"111.99_1049.677m/z",0.32102,-1.6393
"347.88_1465.1087m/z",0.32206,-1.6346
"93.51_508.2154m/z",0.32285,-1.6311
"588.8_799.6697m/z",0.32398,-1.626
"513.63_687.5536m/z",0.32403,-1.6258
"98.76_199.1696m/z",0.32409,-1.6255
"574.65_489.4052m/z",3.0713,1.6189
"328.72_913.5711m/z",0.32654,-1.6147
"596.1_781.7118m/z",0.32673,-1.6138
"606.7_796.7311m/z",0.3273,-1.6113
"623.13_803.7007m/z",0.32791,-1.6086
"491.26_895.6464m/z",0.32829,-1.6069
"563.25_796.6856m/z",0.32884,-1.6046
"128.75_301.2167m/z",0.32891,-1.6042
"581.5_791.695m/z",0.32918,-1.603
"472.22_908.6486m/z",0.32954,-1.6015
"611.73_999.8236m/z",0.32968,-1.6009
"371.04_921.6159m/z",3.0295,1.5991
"603.63_768.7083m/z",0.33012,-1.5989
"579.67_892.7404m/z",0.33021,-1.5985
"641.61_523.4724m/z",0.33145,-1.5931
"623.13_819.6736m/z",0.33153,-1.5928
"570.55_416.3646m/z",3.0153,1.5923
"75.03_357.279m/z",0.33177,-1.5917
"606.7_800.683m/z",0.33288,-1.5869
"111.99_1087.6325m/z",0.33407,-1.5818
"TG(44:0)",0.33419,-1.5813
"606.7_797.734m/z",0.33465,-1.5793
"339.22_812.5279m/z",0.33508,-1.5774
"546.82_762.6618m/z",0.33547,-1.5757
"581.73_860.7341m/z",0.33632,-1.5721
"603.63_769.7115m/z",0.33674,-1.5703
"53.25_445.2227m/z",0.33755,-1.5668
"583.32_940.6956m/z",0.3379,-1.5653
"648.0_957.7928m/z",0.3386,-1.5624
"356.33_1617.1654m/z",0.33872,-1.5618
"590.62_519.4412m/z",0.33895,-1.5609
"581.27_805.7121m/z",0.33944,-1.5588
"Lauric acid FA(12:0)",0.34088,-1.5527
"71.61_619.0038m/z",2.928,1.5499
"559.6_712.6454m/z",0.3417,-1.5492
"346.52_1613.1395m/z",0.34187,-1.5485
"329.29_780.4352m/z",0.34194,-1.5482
"282.98_420.3042m/z",0.3432,-1.5429
"450.55_592.4997m/z",0.34322,-1.5428
"587.66_577.5188m/z",0.3434,-1.542
"158.87_565.296m/z",0.34406,-1.5393
"Octadecatetraenoic acid FA(18:4)",0.34421,-1.5387
"559.6_713.6485m/z",0.34451,-1.5374
"270.43_439.3784m/z",0.34466,-1.5368
"437.54_417.369m/z",2.9,1.5361
"461.27_896.6205m/z",0.34567,-1.5325
"LPS(18:0/0:0)",0.34576,-1.5321
"606.7_799.6796m/z",0.34698,-1.5271
"582.41_818.7159m/z",0.34756,-1.5247
"589.49_906.7559m/z",0.3478,-1.5237
"112.68_989.6591m/z",0.34792,-1.5232
"596.1_785.6639m/z",0.34797,-1.523
"589.03_994.7871m/z",0.34809,-1.5225
"570.55_811.6329m/z",0.34815,-1.5222
"269.75_593.4776m/z",2.8693,1.5207
"590.17_520.4446m/z",0.34888,-1.5192
"158.19_603.3114m/z",0.35013,-1.5141
"527.09_635.6516m/z",0.35206,-1.5061
"257.66_379.3367m/z",2.8383,1.505
"437.31_416.3655m/z",2.8324,1.502
"603.75_770.7143m/z",0.35386,-1.4987
"625.41_805.729m/z",0.35393,-1.4985
"566.67_742.6106m/z",0.35429,-1.497
"634.09_823.7594m/z",0.3546,-1.4957
"588.8_996.7946m/z",0.35515,-1.4935
"341.72_976.5072m/z",0.35528,-1.493
"328.72_824.5425m/z",0.35563,-1.4915
"491.27_821.6674m/z",0.35568,-1.4914
"606.7_801.6863m/z",0.35602,-1.49
"573.29_999.7754m/z",0.35674,-1.4871
"488.07_680.5839m/z",0.35674,-1.487
"TG(56:9)",0.35695,-1.4862
"67.27_430.2116m/z",0.35724,-1.4851
"252.41_595.4936m/z",0.35767,-1.4833
"413.25_638.489m/z",0.3588,-1.4787
"328.72_765.5263m/z",0.35911,-1.4775
"575.34_890.7806m/z",0.3591,-1.4775
"437.77_415.3576m/z",2.7818,1.476
"616.06_650.5231m/z",0.35997,-1.4741
"609.44_935.7905m/z",0.36033,-1.4726
"689.41_661.6138m/z",2.7731,1.4715
"505.19_656.583m/z",0.36079,-1.4708
"586.06_969.7754m/z",0.36081,-1.4707
"V1FC",0.36088,-1.4704
"346.74_1615.1467m/z",0.36105,-1.4697
"419.87_649.5197m/z",0.36116,-1.4693
"634.09_822.7559m/z",0.36153,-1.4678
"111.99_100.933m/z",0.36168,-1.4672
"575.11_891.784m/z",0.36198,-1.466
"55.98_465.0942m/z",2.7613,1.4654
"590.4_604.5382m/z",0.36263,-1.4634
"589.03_995.7906m/z",0.36348,-1.46
"605.34_996.8026m/z",0.3641,-1.4576
"322.33_461.3383m/z",2.7399,1.4541
"327.58_841.5665m/z",0.36506,-1.4538
"V3CH",0.36588,-1.4506
"597.01_900.7161m/z",0.36618,-1.4494
"625.41_826.769m/z",0.36676,-1.4471
"473.59_843.6752m/z",0.36694,-1.4464
"589.03_804.7082m/z",0.36706,-1.4459
"346.74_1537.1625m/z",0.36777,-1.4431
"616.06_649.5196m/z",0.36822,-1.4414
"111.99_583.3254m/z",0.36856,-1.44
"346.74_1616.1504m/z",0.36887,-1.4388
"606.48_919.6339m/z",0.36905,-1.4381
"583.32_923.7137m/z",0.36933,-1.437
"606.7_913.7286m/z",0.36981,-1.4351
"588.8_815.6487m/z",0.36993,-1.4347
"581.27_804.7083m/z",0.37038,-1.4329
"404.58_792.5543m/z",0.37049,-1.4325
"PI(18:0/22:5)_1",0.37091,-1.4308
"606.48_816.6611m/z",0.37093,-1.4308
"588.34_495.4402m/z",0.37114,-1.43
"603.86_773.6637m/z",0.37164,-1.428
"322.33_460.3338m/z",2.6883,1.4267
"648.23_958.7957m/z",0.37219,-1.4259
"581.27_973.7298m/z",0.37245,-1.4249
"588.8_792.7084m/z",0.37247,-1.4248
"507.92_836.6864m/z",0.37283,-1.4234
"307.04_809.5177m/z",0.3739,-1.4193
"625.41_948.6757m/z",0.37405,-1.4187
