"","Fold Change","log2(FC)"
"517.5_695.6383m/z",0.6035,-0.72858
"231.31_341.3054m/z",0.60354,-0.72849
"371.04_812.6073m/z",1.6569,0.72847
"653.02_955.8532m/z",0.60368,-0.72815
"319.59_911.5559m/z",0.6037,-0.72809
"298.72_883.532m/z",1.6563,0.72798
"634.54_552.5068m/z",0.60402,-0.72734
"215.79_310.2827m/z",0.60406,-0.72724
"215.79_309.2793m/z",0.60419,-0.72693
"LPC(0:0/20:5)",0.60424,-0.72681
"656.22_933.7907m/z",0.60428,-0.72672
"497.43_834.6361m/z",1.6548,0.72664
"636.37_988.7053m/z",0.60431,-0.72663
"390.89_611.5391m/z",1.6544,0.7263
"462.41_984.895m/z",0.60449,-0.72621
"618.57_954.7634m/z",0.60457,-0.72601
"597.47_971.7911m/z",0.6051,-0.72475
"385.64_1570.1829m/z",0.60518,-0.72456
"116.1_442.3512m/z",1.6515,0.72381
"297.13_419.3507m/z",0.6055,-0.72379
"640.7_846.7063m/z",0.60571,-0.72331
"329.63_894.5267m/z",0.60589,-0.72287
"325.75_807.5744m/z",0.60602,-0.72255
"339.44_887.5646m/z",0.60604,-0.72251
"348.11_732.8795m/z",1.6493,0.72188
"336.71_874.5524m/z",0.60636,-0.72175
"614.01_972.8035m/z",0.60645,-0.72155
"640.93_830.7303m/z",0.60669,-0.72097
"462.64_537.4418m/z",0.60672,-0.72089
"642.76_553.5107m/z",0.6068,-0.7207
"388.15_760.9173m/z",0.60685,-0.7206
"365.1_836.4841m/z",0.60688,-0.72052
"342.41_389.7716m/z",0.60694,-0.72038
"491.5_662.5388m/z",0.60707,-0.72006
"573.06_794.6416m/z",0.60715,-0.71988
"387.01_1579.1686m/z",0.60724,-0.71966
"103.32_476.2775m/z",1.6464,0.71928
"346.74_845.5314m/z",0.60759,-0.71883
"346.29_132.9229m/z",0.60791,-0.71807
"112.9_496.5086m/z",0.60791,-0.71806
"633.63_951.8225m/z",0.60805,-0.71775
"640.81_845.7016m/z",0.60806,-0.71772
"269.97_599.4641m/z",0.60807,-0.71769
"614.92_975.8215m/z",0.60811,-0.7176
"653.02_980.8657m/z",0.6082,-0.71739
"139.48_148.089m/z",0.60834,-0.71705
"573.06_838.6525m/z",0.60842,-0.71686
"357.92_721.559m/z",1.6432,0.7165
"622.68_907.7723m/z",0.60862,-0.71639
"365.11_740.5121m/z",0.60868,-0.71625
"588.8_901.6535m/z",0.60883,-0.71589
"614.92_974.817m/z",0.60884,-0.71586
"433.43_398.3066m/z",0.60901,-0.71545
"Decanoylcarnitine CAR(10:0)",1.6419,0.71535
"342.41_390.777m/z",0.60919,-0.71504
"378.11_1578.1791m/z",0.60919,-0.71503
"573.29_816.7087m/z",0.60921,-0.71498
"Delta-Tocopherol",1.6413,0.71482
"353.59_914.5837m/z",0.60973,-0.71376
"657.59_853.8057m/z",0.60986,-0.71344
"335.11_1081.8443m/z",1.6392,0.71303
"103.55_236.1212m/z",1.639,0.71278
"533.02_601.613m/z",0.61019,-0.71266
"400.47_748.528m/z",0.61024,-0.71255
"297.36_554.4314m/z",1.6386,0.71244
"618.57_950.8106m/z",0.61029,-0.71243
"99.67_262.137m/z",0.61033,-0.71234
"602.49_946.7875m/z",0.61034,-0.71232
"388.15_1162.3556m/z",0.61037,-0.71224
"570.32_847.7126m/z",0.61047,-0.712
"608.99_844.6707m/z",0.61059,-0.71172
"385.18_430.3069m/z",1.6377,0.71165
"327.81_852.5176m/z",0.61075,-0.71135
"440.97_404.8246m/z",1.6372,0.7112
"415.07_774.5438m/z",0.61084,-0.71114
"NAPE(O-18:1/20:4/18:0) and/or NAPE(P-18:0/20:4/18:0)",0.61086,-0.71108
"330.09_548.4018m/z",1.6367,0.71081
"74.12_619.2882m/z",0.61108,-0.71056
"215.11_622.4445m/z",1.6363,0.7104
"167.77_255.2323m/z",0.61117,-0.71035
"365.1_837.4873m/z",0.61138,-0.70986
"383.13_855.6963m/z",1.6356,0.70985
"466.06_418.3359m/z",1.6355,0.70976
"647.32_589.5207m/z",0.61146,-0.70968
"176.9_363.2511m/z",0.61151,-0.70955
"355.87_868.5956m/z",0.6116,-0.70934
"446.21_641.5134m/z",0.61162,-0.7093
"234.73_311.2951m/z",1.6344,0.70872
"426.59_751.547m/z",0.61196,-0.70848
"642.76_833.761m/z",0.61204,-0.7083
"336.02_1527.1246m/z",1.6338,0.70821
"517.51_636.6264m/z",0.61218,-0.70797
"316.63_388.7638m/z",0.6122,-0.70792
"387.92_891.5893m/z",0.61227,-0.70775
"427.05_1547.2514m/z",0.61227,-0.70775
"415.07_775.5471m/z",0.61232,-0.70763
"617.88_910.7875m/z",0.61237,-0.70752
"174.62_490.4075m/z",1.6318,0.70646
"297.36_555.4399m/z",1.6317,0.7064
"606.71_906.762m/z",0.61285,-0.7064
"533.25_746.6055m/z",0.61288,-0.70632
"599.52_599.5034m/z",1.6314,0.70608
"418.72_382.7751m/z",1.6313,0.70601
"296.67_779.5424m/z",0.61316,-0.70567
"369.21_365.2177m/z",0.61316,-0.70566
"83.01_559.323m/z",0.61322,-0.70551
"643.44_549.4887m/z",0.61323,-0.7055
"167.77_255.4248m/z",0.61331,-0.70532
"DG(16:0/16:0)",0.61331,-0.70531
"L4PN",0.6134,-0.7051
"466.06_417.8321m/z",1.6299,0.70482
"L4AB",0.61356,-0.70473
"148.6_578.2853m/z",0.61371,-0.70438
"387.01_724.519m/z",0.61372,-0.70434
"659.18_885.7814m/z",0.61378,-0.7042
"LPI(0:0/20:4)",0.61386,-0.70402
"329.86_349.2371m/z",0.61443,-0.70268
"588.8_887.6837m/z",0.61445,-0.70262
"426.59_750.5437m/z",0.61449,-0.70255
"394.08_847.5078m/z",0.61458,-0.70233
"528.46_988.7728m/z",0.61462,-0.70224
"634.09_838.7783m/z",0.61464,-0.70218
"400.47_749.5312m/z",0.61467,-0.70212
"618.57_953.7598m/z",0.61476,-0.7019
"SulfoHexCer(d18:1/18:0)",0.61477,-0.70187
"231.31_339.2513m/z",0.61479,-0.70183
"378.79_764.5231m/z",0.61481,-0.70178
"357.01_1570.1614m/z",0.61482,-0.70176
"346.74_949.5165m/z",0.61489,-0.7016
"397.05_1570.1894m/z",0.61504,-0.70124
"331.91_411.7849m/z",0.61508,-0.70116
"334.88_786.5827m/z",1.6258,0.70112
"269.75_549.4518m/z",0.61538,-0.70045
"390.89_547.4709m/z",0.61552,-0.70012
"500.39_680.6669m/z",0.61562,-0.69989
"456.82_577.5198m/z",0.61569,-0.69972
"583.1_817.7119m/z",0.61571,-0.69969
"72.06_492.1771m/z",1.6236,0.69916
"632.03_816.7125m/z",0.61626,-0.6984
"305.67_838.5589m/z",0.6163,-0.6983
"382.67_870.5047m/z",0.61631,-0.69828
"615.15_578.5225m/z",0.61641,-0.69804
"137.2_350.2481m/z",1.622,0.69776
"634.09_842.7308m/z",0.61653,-0.69775
"581.5_871.7491m/z",0.61654,-0.69774
"72.06_493.181m/z",1.6218,0.69758
"408.91_872.6283m/z",0.61661,-0.69757
"383.59_1505.1766m/z",0.6167,-0.69736
"590.17_882.7549m/z",0.61697,-0.69674
"483.63_268.2191m/z",0.61713,-0.69636
"171.65_696.3627m/z",1.6202,0.69621
"400.47_776.5797m/z",0.61726,-0.69604
"395.22_652.5398m/z",0.61732,-0.69592
"315.72_375.2514m/z",0.61742,-0.69568
"124.65_481.3111m/z",1.6193,0.69537
"456.71_578.5233m/z",0.61786,-0.69465
"288.0_753.5282m/z",0.61795,-0.69443
"656.22_928.8345m/z",0.61802,-0.69427
"653.02_981.8692m/z",0.61812,-0.69404
"298.95_853.4871m/z",1.6174,0.6937
"253.32_416.3649m/z",1.6171,0.69342
"DG(16:0/18:1)",0.61846,-0.69325
"602.49_947.791m/z",0.61882,-0.69241
"371.27_866.5912m/z",0.61894,-0.69213
"599.75_919.7088m/z",1.6149,0.69146
"642.76_834.7646m/z",0.61937,-0.69112
"346.06_365.2177m/z",0.61941,-0.69104
"TG(46:3)",0.61955,-0.69071
"72.06_612.2196m/z",1.6138,0.69048
"139.48_255.2115m/z",0.61986,-0.68998
"472.22_868.676m/z",1.6132,0.68992
"508.15_795.6913m/z",0.62007,-0.6895
"160.47_577.2957m/z",0.62022,-0.68914
"508.15_834.6803m/z",0.62036,-0.68882
"376.97_830.5281m/z",1.6119,0.68874
"392.71_829.6m/z",0.62043,-0.68867
"305.91_794.534m/z",0.62049,-0.68852
"269.29_579.4974m/z",0.62075,-0.68791
"391.34_886.6351m/z",1.6109,0.68791
"652.57_898.7472m/z",0.62107,-0.68718
"517.73_621.6301m/z",0.62118,-0.68691
"403.89_618.6186m/z",0.62136,-0.6865
"444.16_806.677m/z",1.609,0.6862
"151.34_564.2839m/z",0.62184,-0.68538
"Retinol",0.62185,-0.68537
"461.5_416.3655m/z",1.6078,0.68505
"634.09_841.7273m/z",0.62207,-0.68485
"497.88_451.3478m/z",1.6074,0.68472
"157.27_501.3043m/z",0.62215,-0.68468
"171.65_638.3093m/z",0.62232,-0.68428
"455.57_590.4857m/z",0.62246,-0.68395
"658.04_955.8489m/z",0.62254,-0.68377
"364.42_732.6177m/z",1.606,0.6835
"111.99_481.3125m/z",0.62266,-0.68348
"83.24_406.1994m/z",0.62267,-0.68345
"446.44_643.5256m/z",0.62282,-0.68312
"393.17_866.5678m/z",0.62283,-0.68309
"317.54_832.5057m/z",0.62287,-0.683
"566.67_821.6982m/z",0.62303,-0.68262
"345.37_861.5472m/z",0.62309,-0.68248
"640.93_829.7269m/z",0.6231,-0.68246
"473.59_766.6565m/z",0.62312,-0.68242
"V1PL",0.62319,-0.68226
"501.53_607.6173m/z",0.6232,-0.68224
"330.09_549.4056m/z",1.6045,0.68215
"629.98_976.8343m/z",0.62333,-0.68194
"Cholesterol Sulfate_1",0.62389,-0.68064
"85.98_500.278m/z",0.62389,-0.68064
"409.37_1556.2034m/z",0.62399,-0.6804
"517.51_650.6201m/z",0.62404,-0.6803
"139.48_286.23m/z",0.62423,-0.67985
"329.86_645.433m/z",0.62443,-0.67938
"653.02_975.7817m/z",0.62445,-0.67935
"599.75_918.707m/z",1.6009,0.6789
"375.83_771.5116m/z",0.62482,-0.6785
"149.06_303.2323m/z",0.62488,-0.67836
"634.31_843.7329m/z",0.62491,-0.67828
"615.15_889.7286m/z",0.62511,-0.67782
"Eicosatetraenoic acid FA(20:4)",0.6252,-0.67761
"270.43_577.4819m/z",0.62523,-0.67754
"LPC(P-16:0/0:0)",0.62537,-0.67722
"253.09_813.5223m/z",1.5987,0.67694
"139.48_287.2335m/z",0.62558,-0.67675
"72.06_611.2148m/z",1.5983,0.67653
"450.77_551.504m/z",0.62582,-0.67618
"599.98_1022.689m/z",1.5972,0.67551
"556.63_888.764m/z",0.62625,-0.67519
"282.98_405.3147m/z",0.62641,-0.67482
"HexCer(d18:1/22:0)",0.62666,-0.67424
"269.98_579.4506m/z",0.62689,-0.67372
"424.76_1263.8286m/z",0.62692,-0.67365
"296.67_778.5395m/z",0.62694,-0.6736
"371.72_904.5469m/z",0.62717,-0.67307
"151.34_563.2805m/z",0.62718,-0.67305
"321.19_151.076m/z",1.5944,0.67299
"151.34_467.3053m/z",0.62723,-0.67293
"111.99_480.3092m/z",0.62736,-0.67264
"592.91_901.7405m/z",0.62743,-0.67246
"346.06_905.5429m/z",0.62782,-0.67158
"689.41_992.8721m/z",1.5923,0.6711
"133.32_566.3821m/z",0.62805,-0.67106
"430.92_600.5125m/z",1.5919,0.67076
"387.24_1617.1693m/z",0.62826,-0.67056
"444.16_805.6767m/z",1.5915,0.67038
"173.47_649.5134m/z",1.5912,0.67007
"629.98_977.8379m/z",0.62861,-0.66976
"634.08_839.7794m/z",0.62878,-0.66937
"635.0_841.8248m/z",0.62887,-0.66917
"365.33_738.5062m/z",0.62889,-0.66911
"611.04_550.4915m/z",0.62912,-0.66858
"354.5_787.5122m/z",0.62935,-0.66806
"667.28_619.5668m/z",0.62954,-0.66762
"653.25_618.5545m/z",0.62961,-0.66747
"387.24_1594.1844m/z",0.62974,-0.66716
"237.01_579.4962m/z",0.62975,-0.66714
"508.15_835.6839m/z",0.62989,-0.66684
"246.47_776.4975m/z",0.6299,-0.66681
"420.09_815.6352m/z",1.5865,0.66587
"PI(18:0/22:5)_2",0.63067,-0.66504
"573.06_817.712m/z",0.63069,-0.66499
"344.69_911.5645m/z",0.63071,-0.66495
"632.26_815.711m/z",0.6308,-0.66475
"445.98_830.6807m/z",1.5845,0.664
"427.05_1549.256m/z",0.63116,-0.66393
"491.5_616.5015m/z",0.63177,-0.66252
"387.01_818.9338m/z",0.63224,-0.66145
"605.34_644.55m/z",1.5811,0.66095
"423.06_872.6287m/z",0.63248,-0.6609
"462.64_983.8853m/z",0.63256,-0.66071
"384.5_881.5492m/z",0.63268,-0.66045
"144.73_509.3439m/z",0.63269,-0.66043
"168.68_468.3771m/z",0.63272,-0.66035
"342.87_783.5741m/z",0.63276,-0.66027
"307.27_872.6465m/z",0.63277,-0.66026
"321.19_489.4053m/z",1.5802,0.66008
"344.69_912.568m/z",0.63288,-0.65999
"148.6_480.3088m/z",0.63309,-0.65951
"370.12_1576.1723m/z",0.63318,-0.65931
"633.86_956.7789m/z",0.63318,-0.6593
"406.86_655.4835m/z",1.5793,0.65928
"599.98_575.5035m/z",0.63321,-0.65924
"103.55_237.6336m/z",1.5791,0.6591
"634.31_859.703m/z",0.63352,-0.65854
"300.78_397.3457m/z",0.63357,-0.65843
"326.67_800.5421m/z",0.63358,-0.6584
"TG(48:4)_1",0.63361,-0.65833
"139.48_256.2151m/z",0.63362,-0.6583
"480.66_796.6679m/z",0.63371,-0.6581
"329.4_778.5383m/z",0.63393,-0.65761
"LPE(0:0/18:2)",1.5771,0.65724
"329.63_797.5536m/z",0.63414,-0.65712
"139.48_268.2194m/z",0.63444,-0.65645
"387.24_1596.1911m/z",0.6346,-0.65608
"91.68_457.2351m/z",0.63493,-0.65533
"184.31_605.3271m/z",0.635,-0.65517
"456.48_617.5121m/z",0.63503,-0.65509
"670.01_886.7932m/z",0.63509,-0.65496
"689.41_986.9126m/z",1.5744,0.65482
"465.15_434.8132m/z",1.5741,0.65449
"103.55_428.1957m/z",1.574,0.65442
"635.45_847.7625m/z",0.63534,-0.65439
"149.06_304.2358m/z",0.63542,-0.65421
"325.53_413.375m/z",0.63611,-0.65266
"321.19_855.5741m/z",0.63614,-0.65259
"378.11_1527.1675m/z",0.63615,-0.65255
"618.34_951.8141m/z",0.63633,-0.65216
"269.52_601.4795m/z",0.63646,-0.65185
"371.49_1556.1678m/z",0.63662,-0.6515
"334.65_721.5819m/z",1.5703,0.65107
"689.41_987.9161m/z",1.5701,0.65085
"599.75_882.7562m/z",0.63709,-0.65044
"498.11_450.8439m/z",1.5696,0.65037
"606.7_927.7444m/z",0.63714,-0.65032
"622.91_997.6865m/z",0.63719,-0.6502
"353.59_915.5867m/z",0.63723,-0.6501
"387.92_1590.2079m/z",1.5693,0.6501
"151.34_565.2824m/z",0.6376,-0.64928
"399.33_1528.1746m/z",0.63767,-0.64912
"111.99_556.3517m/z",0.63769,-0.64908
"151.34_466.307m/z",0.63772,-0.649
"533.25_648.6294m/z",0.6378,-0.64883
"365.33_739.5095m/z",0.63785,-0.64871
"599.98_900.785m/z",1.5678,0.64871
"491.27_781.6755m/z",0.63794,-0.6485
"397.28_1645.2013m/z",0.63803,-0.6483
"329.63_796.5501m/z",0.63808,-0.64819
"NAPE(O-18:1/20:4/16:0) and/or NAPE(P-18:0/20:4/16:0)",0.63834,-0.64761
"666.36_914.7691m/z",0.63858,-0.64705
"601.81_837.696m/z",0.6386,-0.64701
"142.67_327.2324m/z",0.63863,-0.64694
"473.14_842.67m/z",1.5657,0.64681
"397.05_1646.2147m/z",0.63877,-0.64662
"517.51_694.6789m/z",0.63881,-0.64654
"Sulfo2HexCer(d41:1)",0.63919,-0.64568
"345.6_851.5638m/z",0.63926,-0.64553
"111.99_692.2836m/z",0.63931,-0.64541
"633.86_955.7756m/z",0.63942,-0.64516
"405.94_864.5156m/z",0.63956,-0.64484
"652.57_1016.7362m/z",0.63962,-0.64472
"Docosahexaenoic FA(22:6)",0.64019,-0.64343
"371.04_809.5905m/z",0.64043,-0.64288
"597.7_976.7489m/z",0.64048,-0.64278
"Cholesterol Sulfate_2",0.64059,-0.64252
"575.57_642.5343m/z",0.64063,-0.64244
"581.96_727.5539m/z",0.64065,-0.64239
"346.74_1059.444m/z",0.64073,-0.64221
"659.18_1003.7329m/z",0.64076,-0.64213
"491.27_780.6723m/z",0.64081,-0.64204
"184.31_523.4304m/z",0.64084,-0.64195
"491.5_606.5551m/z",0.64117,-0.64122
"682.11_947.8826m/z",0.64125,-0.64105
"387.01_723.5156m/z",0.64141,-0.64069
"376.28_850.5951m/z",0.64142,-0.64066
"174.84_489.4047m/z",1.5589,0.64051
"372.86_720.5909m/z",1.5588,0.64048
"151.34_465.3037m/z",0.64152,-0.64044
"176.9_100.933m/z",0.64173,-0.63996
"345.6_864.5752m/z",0.64184,-0.63972
"533.25_708.6505m/z",0.64185,-0.63968
"402.52_401.802m/z",1.5579,0.63963
"472.91_833.6698m/z",0.64188,-0.63963
"226.06_536.468m/z",1.557,0.63877
"103.55_431.2184m/z",1.5569,0.63872
"356.56_1589.1381m/z",0.6423,-0.63868
"608.99_841.6727m/z",0.64246,-0.63832
"407.54_600.5054m/z",1.5564,0.63819
"608.99_828.7059m/z",0.64254,-0.63814
"464.92_769.6222m/z",0.64259,-0.63802
"HexCer(d18:1/23:0)",0.64319,-0.63668
"597.7_975.7456m/z",0.64324,-0.63657
"639.56_959.7967m/z",0.64328,-0.63648
"269.29_580.5013m/z",0.6434,-0.6362
"642.76_854.8018m/z",0.64387,-0.63517
"481.58_833.7073m/z",1.5528,0.63487
"409.37_1557.2073m/z",0.64424,-0.63434
"441.19_404.3207m/z",1.5518,0.63391
"392.94_601.5753m/z",1.5517,0.63386
"438.23_837.6843m/z",1.5517,0.63384
"387.69_797.617m/z",1.5515,0.63368
"111.99_557.3526m/z",0.64462,-0.63348
"375.83_770.5088m/z",0.64462,-0.63347
"386.55_1546.1749m/z",0.64465,-0.6334
"445.3_626.5868m/z",1.5511,0.63334
"357.93_720.556m/z",1.5507,0.63288
"387.24_1597.1946m/z",0.64501,-0.6326
"473.59_767.6597m/z",0.64533,-0.63189
"689.41_991.8687m/z",1.5492,0.63153
"428.19_1602.259m/z",0.64552,-0.63146
"387.01_722.5123m/z",0.64555,-0.63139
"666.14_593.5507m/z",0.64559,-0.63132
"465.15_437.8342m/z",1.5488,0.63118
"575.8_641.528m/z",0.64569,-0.6311
"533.25_709.6541m/z",0.64578,-0.63088
"334.88_782.5706m/z",1.5482,0.63057
"599.98_1021.6855m/z",1.5478,0.63017
"PE(O-16:1/20:4) and/or PE(P-16:0/20:4)",0.64626,-0.62981
"336.02_1526.1207m/z",1.5466,0.62908
"662.6_890.8196m/z",0.64659,-0.62907
"Succinic acid",0.64694,-0.6283
"405.94_865.5191m/z",0.64705,-0.62805
"714.73_1323.0858m/z",1.5454,0.62794
"96.02_664.3014m/z",0.64711,-0.62791
"449.41_816.6545m/z",1.5452,0.62775
"533.25_709.7007m/z",0.64726,-0.62759
"500.17_654.6385m/z",1.5449,0.62756
"438.68_417.3266m/z",1.5445,0.62715
"616.29_912.7966m/z",0.6475,-0.62705
"348.34_856.5858m/z",0.64779,-0.62641
"300.78_398.3535m/z",0.64785,-0.62627
"386.78_1545.1708m/z",0.64803,-0.62587
"300.55_396.3375m/z",0.64826,-0.62535
"315.72_375.7558m/z",0.6483,-0.62526
"112.68_750.2141m/z",0.64831,-0.62524
"PA(16:0/18:1)",0.64841,-0.62503
"332.14_412.7897m/z",0.64842,-0.625
"111.99_540.3303m/z",0.64845,-0.62493
"345.6_850.5604m/z",0.64868,-0.62442
"335.11_1589.138m/z",1.5416,0.62441
"92.83_433.2315m/z",0.6488,-0.62416
"379.02_915.5947m/z",0.64888,-0.62398
"387.01_821.4916m/z",0.64898,-0.62375
"482.72_640.6229m/z",1.5408,0.62367
"714.51_1322.0817m/z",1.5408,0.62365
"349.71_795.574m/z",0.64907,-0.62354
"689.41_988.9198m/z",1.5402,0.62312
"111.99_593.3047m/z",0.64936,-0.6229
"321.19_490.4087m/z",1.5399,0.62287
"111.99_555.3492m/z",0.64943,-0.62276
"606.93_891.6939m/z",0.64946,-0.62269
"628.38_975.822m/z",0.64959,-0.62239
"320.05_747.6021m/z",1.5391,0.62204
"653.25_868.8477m/z",0.64977,-0.622
"461.27_884.7299m/z",0.64993,-0.62165
"82.33_531.212m/z",0.64996,-0.62157
"372.41_641.5151m/z",1.5383,0.62134
"103.55_236.6262m/z",1.5381,0.62117
"602.26_948.7943m/z",0.65017,-0.62111
"333.74_800.5721m/z",1.5378,0.62086
"509.06_707.6382m/z",0.65036,-0.62068
"385.3_1573.1921m/z",0.65052,-0.62034
"328.95_983.5165m/z",0.65062,-0.6201
"387.24_1595.1877m/z",0.6509,-0.61948
"356.56_1592.1594m/z",0.65098,-0.61932
"576.71_867.7261m/z",0.65115,-0.61894
"321.19_418.3713m/z",1.5356,0.61876
"111.99_594.307m/z",0.65123,-0.61875
"440.05_791.636m/z",1.5354,0.61859
"611.27_846.9782m/z",0.65136,-0.61847
"378.34_1467.1802m/z",0.65138,-0.61842
"416.44_522.3558m/z",1.535,0.61827
"634.54_854.7309m/z",0.65146,-0.61825
"Lignoceric acid FA(24:0)",1.5347,0.618
"675.94_604.5389m/z",1.5346,0.61787
"634.31_934.7874m/z",0.65185,-0.61739
"334.88_782.906m/z",1.5341,0.61736
"278.85_1388.9506m/z",0.65201,-0.61704
"103.55_429.2033m/z",1.5336,0.61692
"653.25_869.8548m/z",0.65221,-0.61658
"500.39_692.6195m/z",0.65224,-0.61654
"318.22_759.5636m/z",0.6523,-0.6164
"144.73_740.2917m/z",0.65234,-0.6163
"659.18_1004.7362m/z",0.65265,-0.61561
"PA(O-18:1/20:4)  and/or PA(P-18:0/20:4)",0.65296,-0.61493
"387.92_762.9403m/z",0.65306,-0.61471
"386.9_1544.1662m/z",0.65322,-0.61435
"383.58_790.6147m/z",0.6533,-0.61418
"305.68_778.5392m/z",0.65349,-0.61377
"464.92_435.3166m/z",1.5302,0.61371
"500.17_599.5953m/z",0.65353,-0.61367
"341.5_780.5549m/z",0.65358,-0.61357
"341.72_881.5267m/z",0.65371,-0.61327
"426.59_1573.2665m/z",0.65374,-0.61321
"116.1_427.3616m/z",1.5296,0.61316
"517.05_553.4937m/z",0.65389,-0.61287
"111.99_554.3458m/z",0.65404,-0.61254
"329.86_388.7636m/z",0.6541,-0.61242
"418.5_770.6034m/z",1.5288,0.61239
"608.99_843.6779m/z",0.65428,-0.61202
"606.7_892.6936m/z",0.65432,-0.61193
"517.5_694.6348m/z",0.65438,-0.61181
"395.0_792.5599m/z",0.65439,-0.61177
"345.83_866.5828m/z",0.6544,-0.61176
"137.2_354.2764m/z",1.528,0.61166
"334.88_784.5773m/z",1.5278,0.61146
"418.5_771.6086m/z",1.5272,0.6109
"635.68_563.5041m/z",0.65481,-0.61086
"111.99_541.3337m/z",0.65498,-0.61048
"196.63_446.3748m/z",1.5267,0.61043
"473.82_602.476m/z",0.655,-0.61043
"64.99_371.299m/z",1.5267,0.61039
"599.98_903.7381m/z",1.5263,0.61007
"345.6_865.5787m/z",0.65527,-0.60984
"458.76_853.6774m/z",1.5261,0.60984
"LPI(18:2/0:0)",0.65534,-0.60969
"482.49_793.6749m/z",0.65536,-0.60964
"L4FC",0.65538,-0.60959
"387.92_1521.6325m/z",0.65551,-0.6093
"octadecenoic acid FA(18:1)",0.65553,-0.60926
"370.58_1620.1873m/z",0.65576,-0.60875
"81.87_526.3142m/z",0.6558,-0.60866
"650.74_566.5232m/z",0.6559,-0.60844
"676.18_980.8152m/z",1.5245,0.60833
"389.06_1518.2054m/z",0.65598,-0.60828
"404.81_733.6195m/z",0.65599,-0.60825
"357.92_1478.1289m/z",1.5244,0.6082
"642.53_1228.5751m/z",0.65606,-0.60809
"674.12_608.5694m/z",0.65613,-0.60795
"321.19_417.3679m/z",1.5239,0.60781
"464.92_436.3246m/z",1.5239,0.60773
"176.9_281.2479m/z",0.65625,-0.60769
"315.94_374.7482m/z",0.65638,-0.6074
"622.9_651.5353m/z",0.65639,-0.60738
"427.05_1576.2314m/z",0.65661,-0.60689
"650.74_864.803m/z",0.65666,-0.60678
"350.62_396.2735m/z",0.65678,-0.60652
"386.55_872.5596m/z",0.6569,-0.60626
"464.92_435.8209m/z",1.5223,0.60622
"599.75_917.7032m/z",1.5221,0.60609
"669.56_972.9418m/z",0.65701,-0.60602
"116.1_426.3583m/z",1.5217,0.60564
"458.08_867.6694m/z",1.5206,0.60467
"295.53_882.5237m/z",1.5197,0.60383
"627.7_848.6432m/z",0.65807,-0.60369
"H4FC",0.6582,-0.6034
"211.23_691.4546m/z",0.65825,-0.6033
"Octadecenoylcarnitine CAR(18:1)",1.5191,0.60325
"285.49_275.2012m/z",1.519,0.60315
"81.87_454.2112m/z",0.65846,-0.60283
"305.22_551.5036m/z",0.65847,-0.60282
"649.83_941.837m/z",0.65877,-0.60215
"306.36_805.5594m/z",0.65878,-0.60214
"479.29_444.3749m/z",0.65918,-0.60126
"581.96_370.3554m/z",0.6594,-0.60077
"460.81_874.6697m/z",1.5164,0.60065
"PC(18:2/18:2)",1.516,0.60023
"415.53_799.5465m/z",0.65982,-0.59985
"337.39_774.5374m/z",0.65989,-0.5997
"485.79_619.528m/z",0.66021,-0.59901
"73.89_595.2883m/z",0.66028,-0.59885
"371.72_905.5502m/z",0.6604,-0.59859
"392.71_600.5721m/z",1.5141,0.59845
"103.32_238.1372m/z",1.5135,0.59793
"426.59_1574.2683m/z",0.66078,-0.59775
"618.8_969.7347m/z",0.66081,-0.59769
"285.03_278.2237m/z",1.5131,0.59755
"261.53_410.3575m/z",0.66111,-0.59704
"108.11_225.1853m/z",0.66113,-0.59699
"LPI(0:0/18:2)",0.66117,-0.5969
"395.0_814.5388m/z",0.66122,-0.59679
"465.15_437.3315m/z",1.5123,0.59671
"HexCer(d18:1/20:0)",0.66127,-0.59669
"389.75_771.6107m/z",1.5117,0.5962
"385.87_895.6164m/z",0.66156,-0.59605
"397.05_1648.2216m/z",0.66164,-0.59589
"96.02_626.3459m/z",0.66173,-0.59569
"466.52_424.3234m/z",1.5111,0.5956
"356.79_1590.153m/z",0.66178,-0.59557
"600.21_598.49m/z",0.6619,-0.59533
"357.01_1568.1586m/z",0.66205,-0.59498
"354.5_367.3574m/z",1.51,0.59452
"72.06_598.2384m/z",1.5098,0.59438
"285.03_277.2166m/z",1.5093,0.59392
"103.55_475.2688m/z",1.5091,0.59367
"581.04_868.7402m/z",0.66272,-0.59354
"PI(38:6); PI(16:0/22:6)|PI(18:2/20:4)",0.66275,-0.59346
"650.74_565.5198m/z",0.66279,-0.59337
"608.99_842.6764m/z",0.66283,-0.59328
"278.87_1387.9466m/z",0.66284,-0.59326
"321.19_433.3681m/z",1.5086,0.59324
"347.2_791.5603m/z",0.6629,-0.59314
"616.29_863.7504m/z",1.5085,0.59312
"334.88_783.5741m/z",1.5083,0.59297
"639.56_952.8345m/z",0.66307,-0.59276
"395.0_815.5433m/z",0.6631,-0.5927
"644.35_577.4272m/z",0.66318,-0.59252
"297.58_728.5241m/z",0.66339,-0.59206
"194.57_509.3301m/z",0.66356,-0.59171
"606.93_905.7572m/z",0.66358,-0.59166
"599.98_902.7311m/z",1.5068,0.59154
"300.55_395.3311m/z",0.66365,-0.59151
"328.95_378.7768m/z",0.66368,-0.59144
"126.24_495.3277m/z",0.66369,-0.59142
"409.37_810.6028m/z",0.66388,-0.59101
"196.63_427.3574m/z",1.5061,0.59084
