"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"385.18_521.5131m/z",0.056291,0.073782,0.50542,0.73295,0.2333,-0.18131,-0.034878,-0.2002
"385.18_522.5162m/z",0.054008,0.076778,0.47677,0.75144,0.21598,0.10894,-0.78789,0.029402
"Cer(d18:1/16:0)",0.055659,0.062023,0.50305,0.70149,0.23846,0.022221,-0.2603,-0.079487
"385.19_520.5097m/z",0.056096,0.077292,0.53055,0.75835,0.24982,0.12342,-0.057582,-0.26592
"352.68_518.4936m/z",-0.0063253,-0.012939,-0.108,-0.066043,-0.086918,0.82365,0.07889,-0.18772
"398.19_790.6159m/z",-0.052742,0.047838,0.18087,0.52247,0.16547,0.18682,2.177,0.9542
"556.4_636.6657m/z",-0.74114,0.63939,0.42048,-0.41556,-0.29154,0.031942,-0.054019,-0.023744
"352.68_519.497m/z",-0.021204,0.052705,-0.19413,0.17796,-0.41359,0.53224,-0.21934,-0.090703
"326.44_935.5657m/z",-0.43221,-0.81532,0.17301,-0.15572,-0.26295,0.086915,0.0031069,0.0039686
"527.09_635.6516m/z",-0.50125,-0.10895,-0.55699,1.0131,0.76288,-0.16708,-0.26775,-0.12041
