"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"977",1.2975,0.21801,-0.25681,0.041683,0.06839,0.0070272,0.017542,-0.027232
"980",1.1938,-0.0057416,-0.044276,0.041635,-0.023663,-0.0085136,0.01012,-0.0011829
"1191",1.0769,0.069486,0.092847,-0.0051162,-0.045981,-0.032098,-0.015693,-0.00066722
"1224",0.81488,0.30577,0.059887,-0.057451,-0.030719,-0.0073806,-0.018946,-0.022153
"1228",0.93136,-0.29869,0.051764,0.055075,-0.092653,-0.0092687,0.02234,0.018424
"936",-0.59933,0.044563,-0.059539,0.030472,0.0089126,0.0012628,-0.004417,-0.011546
"970",0.02849,-0.074753,-0.070094,0.055308,-0.0041452,0.0036029,0.019799,-0.054174
"971",0.32038,0.14263,0.16657,-0.0047831,-0.12618,-0.0034882,0.010158,0.038536
"976",0.20394,-0.043068,0.03023,-0.0033745,0.048118,0.010176,-0.0229,0.012693
"1019",-0.28339,0.07053,-0.073757,-0.028883,-0.015921,0.028137,0.0011129,0.032035
"1024",0.4243,0.18551,0.16744,-0.032518,-0.057943,-0.0017585,0.0041068,0.013815
"1033",0.16439,0.20268,-0.10597,0.042551,0.032553,0.0077299,-0.0037472,0.03586
"1046",-0.45801,-0.057289,0.077994,0.023088,-0.019262,0.019666,0.024802,-0.029042
"1054",0.60484,-0.24118,0.078623,0.00042902,-0.037489,0.0072432,-0.00031148,0.02733
"1056",-0.4594,0.021413,0.040482,-0.02054,-0.031222,0.028507,-0.013884,0.014136
"1090",-0.4721,0.064746,-0.064481,0.0010552,-0.046974,0.019592,0.017514,0.028425
"1092",-0.18592,0.032943,0.15837,0.019581,-0.0412,-0.0046959,0.0090016,-0.030694
"1097",-0.50614,-0.0070193,-0.019384,-0.046912,-0.045667,0.011263,0.0019137,-0.007834
"1100",0.68424,0.11626,0.15899,-0.053252,-0.023187,-0.016694,-0.023177,-0.0029742
"1104",-0.74603,0.061471,-0.074581,-0.01851,0.065979,-0.062391,0.0055326,0.047674
"1106",-0.46756,0.015247,0.042169,0.013955,-0.039512,0.0086234,-0.021569,-0.01674
"1110",-0.49466,0.11009,0.0040992,-0.034772,-0.040698,-0.019711,0.0037944,-0.0099181
"1112",0.17114,0.41347,0.12707,-0.036688,-0.070379,0.016537,0.017151,-0.0034325
"1114",-0.53407,0.10123,-0.24135,-0.033819,0.048522,0.0097653,-0.0082429,0.021726
"1117",0.5783,-0.45669,-0.043753,0.025078,-0.11391,0.0078229,-0.019821,-0.029012
"1127",-0.19851,-0.18633,-0.010557,-0.098867,-0.078488,0.025752,0.010915,0.046955
"1128",-0.37239,0.007718,-0.0022882,0.0062803,-0.019345,0.020291,-0.047845,0.028789
"1129",-0.50111,-0.045854,0.13849,0.03747,-0.073881,-0.0049337,-0.00050729,-0.026433
"1134",0.81907,-0.38589,-0.15369,-0.086565,-0.15332,-0.00099492,0.0077793,0.011955
"1143",-0.52915,-0.085025,-0.084549,0.031353,-0.11838,-0.015257,-0.016447,-0.019145
"1152",-0.35891,0.026951,0.097153,-0.011571,-0.036607,0.013289,-0.0014044,-0.028147
"1153",0.89277,-0.044662,0.07464,-0.092666,0.32406,0.020764,0.022226,0.023274
"1164",0.39337,0.00082199,-0.12324,0.094462,0.092282,-0.014503,-0.033556,0.0024883
"1172",-0.52831,0.0046553,-0.015392,0.068606,0.0029915,0.021724,0.033889,0.0034448
"1173",0.46867,0.061251,-0.020509,0.063857,0.084185,-0.012184,-0.0089474,0.036571
"1192",-0.4078,-0.01978,-0.10331,-0.044929,-0.037506,0.0034248,-0.015054,-0.039369
"1194",-0.45315,-0.081816,0.10842,0.080669,-0.011563,-0.00045814,0.0082276,0.043719
"1195",-0.38938,-0.084516,0.12088,0.017736,0.013596,-0.00055463,0.0096492,-0.041675
"1197",0.03692,0.079525,0.026245,0.026798,0.048514,-0.0055594,0.008297,-0.069481
"1198",-0.073036,0.084669,-0.073179,-0.011499,0.010521,0.014275,-0.021492,-0.035463
"1205",-0.65899,-0.15564,0.0081365,-0.029109,0.04539,-0.034751,0.00053793,0.043075
"1210",-0.013672,0.043822,-0.27267,-0.1095,0.0061034,-0.0072793,0.015606,-0.034404
"1234",-0.28662,-0.28939,0.16339,-0.040193,0.4009,0.0048295,-0.011739,-0.030894
"1236",-0.026433,0.0446,-0.064213,0.12109,0.10631,-0.0008664,0.0098537,0.021444
"1238",-0.39239,0.056922,-0.0063529,0.047636,0.019493,0.015412,-0.0012274,0.031856
"1243",-0.70873,-0.023636,-0.0099547,-0.044349,0.0089864,-0.063375,0.019059,-0.01261
