"","Comp 1","Comp 2","Comp 3","Comp 4"
"508.61_706.6809m/z",-0.64293,0.77075,0.027392,-0.15469
"81.87_414.2163m/z",0.45102,0.13177,0.72308,-0.54813
"111.99_583.3254m/z",-0.54468,-0.59165,0.20043,-0.58517
"81.65_445.1985m/z",0.29618,0.2681,-0.67303,-0.57724
