"","PC1","PC2","PC3","PC4"
"508.61_706.6809m/z",0.64569,0.71517,-0.26049,0.061311
"81.87_414.2163m/z",-0.45015,0.073428,-0.86737,0.19908
"111.99_583.3254m/z",0.54178,-0.61156,-0.20967,0.53713
"81.65_445.1985m/z",-0.29481,0.33035,0.36858,0.81738
