"","Fold Change","log2(FC)"
"582.87_742.6831m/z",0.0091742,-6.7682
"563.47_740.6682m/z",0.034829,-4.8436
"582.64_523.4717m/z",0.035361,-4.8217
"541.46_716.5895m/z",0.041371,-4.5952
"625.41_823.1m/z",0.041943,-4.5754
"559.6_718.6043m/z",0.045357,-4.4625
"513.17_682.5974m/z",0.052952,-4.2392
"583.1_761.6079m/z",0.054773,-4.1904
"563.25_760.6067m/z",0.055561,-4.1698
"541.69_714.5785m/z",0.056913,-4.1351
"603.86_771.7168m/z",0.059422,-4.0729
"559.6_714.6512m/z",0.061527,-4.0226
"520.7_734.6306m/z",0.062483,-4.0004
"585.38_467.4095m/z",0.066113,-3.9189
"538.95_731.5739m/z",0.070889,-3.8183
"513.17_739.6199m/z",0.071656,-3.8028
"513.17_683.6011m/z",0.075182,-3.7335
"538.95_711.6326m/z",0.0784,-3.673
"329.18_1561.1082m/z",0.080474,-3.6353
"329.18_1560.1048m/z",0.081954,-3.609
"563.25_759.6043m/z",0.082191,-3.6049
"603.86_775.6702m/z",0.082993,-3.5909
"563.48_744.6199m/z",0.083457,-3.5828
"549.33_877.7581m/z",0.084988,-3.5566
"533.48_685.6174m/z",0.086972,-3.5233
"559.6_717.6007m/z",0.087029,-3.5224
"624.27_495.441m/z",0.089672,-3.4792
"571.23_726.6614m/z",0.089773,-3.4776
"586.52_778.6895m/z",0.090965,-3.4585
"586.52_773.6544m/z",0.091666,-3.4475
"533.48_689.5697m/z",0.091712,-3.4467
"582.87_741.6805m/z",0.092165,-3.4396
"111.99_158.9352m/z",0.094874,-3.3978
"538.95_710.6301m/z",0.095853,-3.383
"538.84_768.6546m/z",0.095944,-3.3817
"552.52_736.6452m/z",0.099076,-3.3353
"582.87_740.6771m/z",0.099147,-3.3343
"566.67_786.6223m/z",0.10009,-3.3206
"328.95_1536.105m/z",0.10406,-3.2645
"541.92_757.59m/z",0.10485,-3.2536
"541.92_741.6014m/z",0.10562,-3.243
"541.23_715.5856m/z",0.10566,-3.2425
"482.03_654.5673m/z",0.10614,-3.236
"584.01_551.5029m/z",0.10703,-3.224
"588.34_494.4281m/z",0.10786,-3.2127
"541.92_738.6515m/z",0.10794,-3.2116
"596.1_786.668m/z",0.11115,-3.1694
"603.86_790.6391m/z",0.11359,-3.1381
"606.7_798.7379m/z",0.1163,-3.1041
"588.34_493.4247m/z",0.12021,-3.0564
"575.34_752.6768m/z",0.12056,-3.0522
"505.19_656.583m/z",0.12098,-3.0472
"504.5_657.586m/z",0.12292,-3.0242
"582.87_746.6344m/z",0.12475,-3.0029
"559.6_712.6454m/z",0.1261,-2.9874
"563.47_739.6642m/z",0.12633,-2.9847
"559.6_713.6485m/z",0.12706,-2.9764
"504.27_661.5383m/z",0.12803,-2.9655
