"","Fold Change","log2(FC)"
"586.29_767.6958m/z",0.12816,-2.964
"513.17_740.6231m/z",0.12842,-2.9611
"585.83_550.4913m/z",0.12854,-2.9597
"563.47_743.6165m/z",0.129,-2.9546
"586.29_766.6927m/z",0.13085,-2.934
"586.52_779.6945m/z",0.13142,-2.9278
"583.1_762.6117m/z",0.13204,-2.9209
"644.35_577.9602m/z",0.13285,-2.9121
"TG(44:1)",0.1335,-2.9051
"546.59_763.665m/z",0.13547,-2.884
"577.85_779.6945m/z",0.13591,-2.8792
"533.48_684.6141m/z",0.13778,-2.8596
"541.92_794.6684m/z",0.14242,-2.8118
"563.47_738.6611m/z",0.14402,-2.7956
"538.95_767.6512m/z",0.14432,-2.7927
"603.63_768.7083m/z",0.14496,-2.7863
"586.29_768.6988m/z",0.14558,-2.7802
"555.94_940.741m/z",0.14736,-2.7626
"TG(44:0)",0.14742,-2.762
"615.83_509.4568m/z",0.14788,-2.7575
"541.92_793.6667m/z",0.14941,-2.7426
"513.63_687.5536m/z",0.14957,-2.7411
"603.63_769.7115m/z",0.15105,-2.7269
"516.59_708.6157m/z",0.15144,-2.7232
"596.1_781.7118m/z",0.15286,-2.7098
"603.86_774.6676m/z",0.153,-2.7084
"606.7_495.441m/z",0.15349,-2.7038
"48.91_507.2726m/z",0.15519,-2.6879
"48.23_407.2795m/z",0.15536,-2.6863
"589.26_892.7971m/z",0.15934,-2.6498
"563.25_793.6616m/z",0.15979,-2.6457
"603.17_523.472m/z",0.16252,-2.6213
"566.67_785.6201m/z",0.16283,-2.6186
"603.75_770.7143m/z",0.16294,-2.6176
"488.07_680.5839m/z",0.16382,-2.6098
"569.41_770.6389m/z",0.16481,-2.6011
"596.1_785.6639m/z",0.16642,-2.5871
"55.98_465.0942m/z",5.9885,2.5822
"606.7_802.6886m/z",0.16723,-2.5801
"563.25_797.6874m/z",0.16768,-2.5762
"581.5_791.695m/z",0.16921,-2.5631
"552.98_904.7793m/z",0.17051,-2.5521
"541.92_809.6604m/z",0.17141,-2.5445
"603.86_773.6637m/z",0.17598,-2.5065
"69.32_451.3059m/z",0.17795,-2.4904
"591.54_821.7343m/z",0.18113,-2.4649
"623.36_799.7494m/z",0.18162,-2.461
"581.27_805.7121m/z",0.18289,-2.451
"546.82_762.6618m/z",0.18437,-2.4393
"TG(46:1)",0.18584,-2.4278
"644.35_577.7021m/z",0.1863,-2.4243
"606.7_794.7243m/z",0.18671,-2.4211
"591.08_522.4599m/z",0.18751,-2.415
"582.64_745.6308m/z",0.18852,-2.4072
"269.97_853.6439m/z",5.3044,2.4072
"381.76_521.4569m/z",0.1889,-2.4043
"346.52_1613.1395m/z",0.18928,-2.4014
"606.7_795.7277m/z",0.18977,-2.3977
"606.48_817.6604m/z",0.19152,-2.3845
"623.13_819.6736m/z",0.1925,-2.3771
"149.97_360.3625m/z",5.145,2.3632
"603.17_524.4754m/z",0.19441,-2.3629
"346.97_381.373m/z",0.19492,-2.359
"586.52_772.6511m/z",0.19547,-2.355
"413.48_524.4758m/z",0.19798,-2.3366
"231.54_693.4702m/z",0.20086,-2.3158
"606.7_796.7311m/z",0.20114,-2.3137
"625.41_806.7331m/z",0.2075,-2.2688
"346.74_1614.1429m/z",0.20766,-2.2677
"606.7_797.734m/z",0.20928,-2.2565
"587.66_577.5188m/z",0.21096,-2.2449
"606.7_800.683m/z",0.21223,-2.2363
"581.27_804.7083m/z",0.21309,-2.2305
"626.55_521.4572m/z",0.21486,-2.2185
"586.52_771.6478m/z",0.2151,-2.2169
"582.41_818.7159m/z",0.2156,-2.2136
"566.67_742.6106m/z",0.21612,-2.2101
"541.92_737.6484m/z",0.21666,-2.2065
"588.34_495.4402m/z",0.21692,-2.2048
"386.78_1671.209m/z",0.21765,-2.1999
"70.01_355.264m/z",0.21776,-2.1992
"641.61_523.4724m/z",0.21914,-2.1901
"346.74_1615.1467m/z",0.21986,-2.1853
"606.7_799.6796m/z",0.2201,-2.1838
"593.82_754.6935m/z",0.22401,-2.1583
"508.38_870.7509m/z",0.22436,-2.1561
"563.25_796.6856m/z",0.2244,-2.1559
"596.1_780.7077m/z",0.2257,-2.1475
"565.76_815.6953m/z",0.22647,-2.1426
"588.8_799.6697m/z",0.22736,-2.137
"588.8_792.7084m/z",0.22834,-2.1307
"560.05_489.4049m/z",4.379,2.1306
"48.91_373.2736m/z",0.23102,-2.1139
"623.13_803.7007m/z",0.23115,-2.1131
"563.93_967.76m/z",0.23129,-2.1122
"588.8_793.7118m/z",0.2319,-2.1084
"590.17_520.4446m/z",0.23243,-2.1051
"590.4_604.5382m/z",0.23367,-2.0975
"588.8_815.6487m/z",0.23393,-2.0958
"606.7_801.6863m/z",0.23461,-2.0917
"570.55_811.6329m/z",0.2346,-2.0917
"589.03_804.7082m/z",0.2362,-2.0819
"564.27_966.7564m/z",0.2381,-2.0704
"616.06_650.5231m/z",0.23969,-2.0608
"566.67_764.6779m/z",0.23975,-2.0604
"75.03_357.279m/z",0.24003,-2.0587
"TG(46:2)",0.2402,-2.0577
"588.57_794.7153m/z",0.24154,-2.0497
"556.4_636.6657m/z",0.24188,-2.0476
"606.48_919.6339m/z",0.24252,-2.0438
"605.34_996.8026m/z",0.24427,-2.0334
"571.69_993.775m/z",0.245,-2.0291
"648.0_957.7928m/z",0.2451,-2.0285
"609.67_605.5459m/z",0.24575,-2.0248
"648.23_958.7957m/z",0.24612,-2.0226
"634.09_828.7149m/z",0.24632,-2.0214
"565.53_893.741m/z",0.24714,-2.0166
"603.86_789.6374m/z",0.24812,-2.0109
"558.23_840.7057m/z",0.24956,-2.0025
"346.74_1616.1504m/z",0.25198,-1.9886
"566.67_765.6802m/z",0.25311,-1.9821
"596.1_550.4914m/z",0.25347,-1.9801
"419.87_649.5197m/z",0.2542,-1.9759
"346.74_1537.1625m/z",0.25443,-1.9746
"IDTG",0.25474,-1.9729
"609.22_804.7171m/z",0.25488,-1.9721
"269.75_593.4776m/z",3.917,1.9697
"625.41_947.6716m/z",0.2559,-1.9664
"472.22_869.737m/z",0.25647,-1.9631
"604.31_552.5063m/z",0.25906,-1.9487
"541.92_736.6457m/z",0.25905,-1.9487
"606.7_913.7286m/z",0.26014,-1.9426
"588.8_996.7946m/z",0.26018,-1.9424
"347.2_1539.1247m/z",0.26109,-1.9374
"588.8_797.6639m/z",0.26333,-1.9251
"606.48_816.6611m/z",0.26527,-1.9144
"565.53_892.739m/z",0.26553,-1.913
"623.36_796.7399m/z",0.26557,-1.9129
"328.72_987.4799m/z",0.2656,-1.9127
"TG(46:0)",0.2657,-1.9122
"599.07_812.6819m/z",0.2658,-1.9116
"TG(44:2)",0.26781,-1.9007
"370.12_395.3886m/z",0.26868,-1.896
"597.01_900.7161m/z",0.27283,-1.8739
"615.83_810.7476m/z",0.27335,-1.8712
"623.36_797.7433m/z",0.2734,-1.8709
"623.36_798.7466m/z",0.27565,-1.8591
"623.13_818.6733m/z",0.27583,-1.8581
"589.03_805.7117m/z",0.27687,-1.8527
"616.06_649.5196m/z",0.27727,-1.8506
"589.03_994.7871m/z",0.27842,-1.8447
"413.25_638.489m/z",0.27857,-1.8439
"586.06_969.7754m/z",0.27898,-1.8418
"609.44_935.7905m/z",0.28118,-1.8304
"634.08_827.7118m/z",0.28184,-1.8271
"566.67_769.6327m/z",0.28233,-1.8246
"589.49_906.7559m/z",0.28254,-1.8235
"346.74_1535.1569m/z",0.28487,-1.8116
"565.3_872.6925m/z",0.28531,-1.8094
"346.74_1536.1592m/z",0.28538,-1.809
"575.11_891.784m/z",0.28591,-1.8064
"631.8_812.7626m/z",0.28625,-1.8047
"590.62_519.4412m/z",0.28684,-1.8017
"589.03_995.7906m/z",0.28728,-1.7995
"670.01_886.7932m/z",0.28778,-1.797
"625.41_805.729m/z",0.28816,-1.795
"609.22_521.4569m/z",0.28843,-1.7937
"554.12_815.6948m/z",0.28885,-1.7916
"553.21_903.7761m/z",0.28902,-1.7908
"634.09_823.7594m/z",0.28949,-1.7884
"570.32_791.6959m/z",0.28983,-1.7867
"616.06_808.7402m/z",0.29036,-1.7841
"609.21_522.4603m/z",0.2908,-1.7819
"575.34_890.7806m/z",0.29194,-1.7763
"579.67_892.7404m/z",0.29292,-1.7714
"581.73_860.7341m/z",0.29672,-1.7528
"648.23_953.8374m/z",0.29807,-1.7463
"577.85_778.6893m/z",0.29932,-1.7402
"583.32_923.7137m/z",0.2994,-1.7398
"625.41_525.4791m/z",0.30004,-1.7368
"616.06_809.7438m/z",0.30091,-1.7326
"TG(47:1)",0.30212,-1.7268
"625.41_826.769m/z",0.30251,-1.725
"386.78_1668.1988m/z",0.30293,-1.7229
"615.83_813.6955m/z",0.3031,-1.7221
"252.41_595.4936m/z",0.30416,-1.7171
"662.83_891.821m/z",0.30418,-1.717
"625.41_949.679m/z",0.30465,-1.7148
"329.29_780.4352m/z",0.3047,-1.7145
"583.32_940.6956m/z",0.30502,-1.713
"588.8_813.6427m/z",0.30543,-1.7111
"591.77_802.7003m/z",0.30594,-1.7087
"592.22_960.8425m/z",0.30631,-1.7069
"589.26_933.8228m/z",0.30656,-1.7058
"606.48_815.6575m/z",0.30672,-1.705
"588.8_798.667m/z",0.30751,-1.7013
"573.29_796.6553m/z",0.30797,-1.6991
"163.89_579.3859m/z",0.30804,-1.6988
"561.42_789.6786m/z",0.3084,-1.6971
"563.25_795.6822m/z",0.3084,-1.6971
"616.06_815.6996m/z",0.30866,-1.6959
"618.11_536.476m/z",0.30932,-1.6928
"74.34_391.2846m/z",0.31002,-1.6896
"625.41_948.6757m/z",0.31063,-1.6867
"613.32_552.5062m/z",0.31065,-1.6866
"568.95_841.7104m/z",0.31097,-1.6852
"347.2_1461.1428m/z",0.31407,-1.6709
"682.79_972.8971m/z",0.31506,-1.6663
"234.5_364.3125m/z",3.1709,1.6649
"591.08_521.4565m/z",0.31621,-1.6611
"609.44_934.7875m/z",0.31644,-1.66
"413.48_563.4651m/z",0.31731,-1.656
"634.09_822.7559m/z",0.31815,-1.6522
"558.0_864.7081m/z",0.31818,-1.6521
"570.55_790.6926m/z",0.31823,-1.6519
"472.68_866.7243m/z",0.31914,-1.6477
"346.52_1588.1366m/z",0.31987,-1.6444
"616.06_814.6965m/z",0.32206,-1.6346
"606.7_909.7742m/z",0.32318,-1.6296
"623.13_801.6954m/z",0.32329,-1.6291
"V1FC",0.32345,-1.6284
"483.63_268.2191m/z",0.3235,-1.6282
"572.83_905.792m/z",0.3252,-1.6206
"594.51_545.4569m/z",0.32575,-1.6182
"291.19_558.4615m/z",3.0642,1.6155
"623.13_802.6986m/z",0.32646,-1.615
"246.02_416.3261m/z",3.0364,1.6024
"659.18_862.795m/z",0.33013,-1.5989
"625.41_822.756m/z",0.33113,-1.5945
"625.41_823.7595m/z",0.33215,-1.5901
"472.22_868.7343m/z",0.33303,-1.5863
"625.41_824.7628m/z",0.33427,-1.5809
"608.99_946.6594m/z",0.33426,-1.5809
"611.73_999.8236m/z",0.3347,-1.5791
"220.81_435.3477m/z",2.9858,1.5781
"659.64_856.8491m/z",0.33667,-1.5706
"TG(48:1)",0.33681,-1.57
"337.16_736.4918m/z",0.33691,-1.5696
"599.29_807.7278m/z",0.33747,-1.5672
"684.39_909.8687m/z",0.33779,-1.5658
"322.33_461.3383m/z",0.33786,-1.5655
"599.07_811.6794m/z",0.33906,-1.5604
"565.53_814.6918m/z",0.33966,-1.5578
"527.09_608.6342m/z",0.34024,-1.5554
"581.27_973.7298m/z",0.3403,-1.5551
"632.03_816.7125m/z",0.34061,-1.5538
"346.52_1628.1337m/z",0.34243,-1.5461
"70.24_369.2424m/z",0.34251,-1.5458
"229.25_419.3523m/z",0.34294,-1.544
"246.02_415.3205m/z",2.9127,1.5424
"625.41_523.4725m/z",0.34461,-1.537
"386.78_1670.2053m/z",0.34473,-1.5364
"682.11_947.8826m/z",0.34512,-1.5348
"625.41_1067.6286m/z",0.34544,-1.5335
"591.54_825.6869m/z",0.34614,-1.5306
"670.01_881.8375m/z",0.3462,-1.5303
"571.69_992.7722m/z",0.34681,-1.5278
"322.33_460.3338m/z",0.3476,-1.5245
"450.55_592.4997m/z",0.34805,-1.5226
"625.64_822.6364m/z",0.34849,-1.5208
"624.73_937.8058m/z",0.34882,-1.5195
"377.88_1594.1808m/z",2.8668,1.5194
"579.67_893.7434m/z",0.34955,-1.5164
"70.24_370.2495m/z",0.3499,-1.515
"648.0_952.8335m/z",0.35053,-1.5124
"346.52_1589.14m/z",0.35063,-1.512
"588.8_814.6464m/z",0.35144,-1.5087
"625.41_524.4759m/z",0.35301,-1.5022
"386.78_1669.2015m/z",0.35499,-1.4941
"591.54_801.697m/z",0.35529,-1.4929
"656.22_934.7951m/z",0.35529,-1.4929
"596.79_894.756m/z",0.35563,-1.4916
"618.11_535.4726m/z",0.35622,-1.4891
"595.65_549.4876m/z",0.35676,-1.487
"670.01_885.7892m/z",0.35688,-1.4865
"599.29_806.7245m/z",0.35722,-1.4851
"606.7_908.7717m/z",0.35748,-1.4841
"53.02_447.2367m/z",0.3575,-1.484
"659.18_861.792m/z",0.35824,-1.481
"586.06_787.6307m/z",0.3583,-1.4808
"413.48_523.4722m/z",0.35873,-1.479
"634.31_844.7357m/z",0.35895,-1.4781
"625.41_825.7659m/z",0.36003,-1.4738
"670.01_551.5045m/z",0.36064,-1.4714
"199.37_617.367m/z",2.7698,1.4698
"554.12_814.6912m/z",0.36134,-1.4686
"223.09_595.4934m/z",0.36158,-1.4676
"591.54_820.7313m/z",0.36172,-1.467
"591.54_819.7279m/z",0.36184,-1.4666
"591.54_818.7244m/z",0.36186,-1.4665
"574.65_489.4052m/z",2.7576,1.4634
"163.89_402.3495m/z",0.36308,-1.4616
"163.89_578.3824m/z",0.36444,-1.4563
"231.31_339.2513m/z",0.36489,-1.4545
"660.78_905.1951m/z",0.3653,-1.4529
"670.01_880.8333m/z",0.36544,-1.4523
"354.84_861.4855m/z",0.36549,-1.4521
"659.41_882.8399m/z",0.36566,-1.4514
"247.16_424.3333m/z",0.3662,-1.4493
"328.72_986.479m/z",0.36682,-1.4469
"571.46_795.6486m/z",0.3669,-1.4465
"576.48_658.5683m/z",0.36707,-1.4459
"344.01_740.5246m/z",2.7226,1.445
"339.22_812.5279m/z",0.36775,-1.4432
"579.22_547.4727m/z",0.36797,-1.4423
"488.53_551.4791m/z",0.36876,-1.4393
"623.13_817.6693m/z",0.36879,-1.4391
"445.07_791.6543m/z",0.36892,-1.4386
"508.61_706.6809m/z",0.36909,-1.438
"684.39_908.8653m/z",0.36916,-1.4377
"231.31_596.4971m/z",0.36929,-1.4372
"200.73_677.3662m/z",2.7047,1.4355
"599.75_943.7091m/z",0.3699,-1.4348
"648.69_840.7919m/z",0.36993,-1.4347
"200.73_579.3896m/z",2.7027,1.4344
"633.86_972.7536m/z",0.37092,-1.4308
"573.06_921.6993m/z",0.37114,-1.43
"TG(48:3)",0.37129,-1.4294
"634.31_820.743m/z",0.37127,-1.4294
"572.83_906.7956m/z",0.37266,-1.4241
"461.27_896.6205m/z",0.37284,-1.4234
"597.01_895.7594m/z",0.3731,-1.4224
"595.87_996.8056m/z",0.37362,-1.4204
"287.32_729.5263m/z",0.37455,-1.4168
"575.34_933.8143m/z",0.3749,-1.4154
"624.73_936.8032m/z",0.37508,-1.4147
"591.54_823.68m/z",0.37521,-1.4142
"139.48_270.2307m/z",0.37668,-1.4086
"583.32_939.692m/z",0.37682,-1.4081
"592.91_901.7405m/z",0.37851,-1.4016
"633.63_952.8269m/z",0.3785,-1.4016
"100.36_526.3319m/z",2.6401,1.4006
"491.27_821.6674m/z",0.38093,-1.3924
"603.86_850.6998m/z",0.38254,-1.3863
"632.26_815.711m/z",0.3829,-1.385
"290.97_722.5314m/z",0.38353,-1.3826
"347.2_1538.1219m/z",0.38493,-1.3773
"615.83_923.7912m/z",0.38497,-1.3772
"609.21_803.7128m/z",0.38552,-1.3751
"586.06_788.6344m/z",0.3857,-1.3745
"615.83_922.7878m/z",0.386,-1.3733
"420.78_550.4919m/z",0.38643,-1.3717
"386.55_834.9491m/z",0.38751,-1.3677
"643.44_550.4922m/z",0.38756,-1.3675
"632.03_811.7593m/z",0.38795,-1.366
"593.82_755.6959m/z",0.38906,-1.3619
"681.88_946.8816m/z",0.38987,-1.3589
"573.51_947.7141m/z",0.39066,-1.356
"386.55_834.8239m/z",0.39073,-1.3558
"70.01_373.2737m/z",0.39112,-1.3543
"53.25_446.2298m/z",0.39142,-1.3532
"581.04_851.7122m/z",0.39261,-1.3488
"507.92_910.6636m/z",0.39296,-1.3475
"602.26_949.7973m/z",0.393,-1.3474
"641.16_827.7809m/z",0.39314,-1.3469
"608.99_945.6557m/z",0.39313,-1.3469
"634.54_1002.8499m/z",0.39317,-1.3468
"581.16_970.7791m/z",0.39348,-1.3456
"111.99_583.3254m/z",0.39389,-1.3441
"450.77_553.5103m/z",0.39397,-1.3438
"590.4_603.5344m/z",0.39469,-1.3412
"634.08_538.4918m/z",0.39472,-1.3411
"581.27_974.733m/z",0.39476,-1.341
"356.33_1617.1654m/z",0.39483,-1.3407
"632.03_810.7561m/z",0.39572,-1.3374
"81.87_414.2163m/z",2.5256,1.3366
"269.29_676.492m/z",0.39619,-1.3357
"419.87_339.29m/z",0.39654,-1.3345
"491.26_895.6464m/z",0.39664,-1.3341
"680.97_921.8664m/z",0.39687,-1.3333
"450.55_607.4713m/z",0.39764,-1.3305
"667.28_619.5668m/z",0.39775,-1.3301
"72.06_583.2503m/z",0.39869,-1.3267
"573.29_944.7636m/z",0.39873,-1.3265
"112.45_600.323m/z",0.3998,-1.3227
"680.97_920.8661m/z",0.4003,-1.3209
"576.71_867.7261m/z",0.40074,-1.3192
"625.41_827.7116m/z",0.40115,-1.3178
"419.86_665.51m/z",0.40165,-1.316
"308.64_767.542m/z",0.40286,-1.3116
"648.92_844.7466m/z",0.4032,-1.3104
"339.67_774.6214m/z",0.40369,-1.3087
"659.18_965.7773m/z",0.40405,-1.3074
"527.09_635.6516m/z",0.40425,-1.3067
"625.41_828.7151m/z",0.40448,-1.3059
"666.14_593.5507m/z",0.40482,-1.3046
"168.45_446.335m/z",2.4692,1.3041
"338.3_714.5102m/z",0.40533,-1.3028
"634.54_858.7014m/z",0.40536,-1.3027
"328.83_985.4794m/z",0.40556,-1.302
"507.92_836.6864m/z",0.40563,-1.3018
"583.1_817.7119m/z",0.40672,-1.2979
"650.74_867.8111m/z",0.40702,-1.2968
"689.41_661.6138m/z",2.4555,1.296
"282.98_420.3042m/z",0.40771,-1.2944
"287.31_728.5235m/z",0.40821,-1.2926
"618.57_955.7698m/z",0.40847,-1.2917
"308.19_555.4399m/z",2.4442,1.2894
"319.37_803.6641m/z",0.40941,-1.2884
"666.36_914.7691m/z",0.40946,-1.2882
"634.08_537.4883m/z",0.41033,-1.2851
"642.98_850.6583m/z",0.41273,-1.2767
"550.7_789.6792m/z",0.41352,-1.274
"643.9_978.8511m/z",0.41379,-1.273
"341.72_880.5369m/z",0.41437,-1.271
"231.31_341.3054m/z",0.4157,-1.2664
"625.41_846.6828m/z",0.41612,-1.2649
"419.86_663.4953m/z",0.41614,-1.2648
"328.95_782.5613m/z",0.41627,-1.2644
"634.09_836.7718m/z",0.41691,-1.2622
"TG(49:1)",0.4172,-1.2612
"634.54_857.6995m/z",0.41733,-1.2607
"593.13_915.691m/z",0.41742,-1.2604
"659.18_1123.6911m/z",0.41771,-1.2594
"340.81_545.4287m/z",0.41838,-1.2571
"173.47_649.5134m/z",2.3888,1.2563
"578.53_898.7051m/z",0.41864,-1.2562
"599.75_922.7792m/z",0.41933,-1.2539
"378.57_624.572m/z",2.3799,1.2509
"634.09_837.7752m/z",0.42058,-1.2496
"611.95_998.8205m/z",0.42066,-1.2493
"297.36_550.4036m/z",2.3744,1.2475
"679.82_869.7949m/z",0.42173,-1.2456
"608.99_822.7472m/z",0.42238,-1.2434
"605.34_644.55m/z",2.3655,1.2421
"614.69_579.5271m/z",0.42301,-1.2412
"112.68_991.6746m/z",0.42336,-1.2401
"168.34_445.3318m/z",2.3607,1.2392
"609.21_820.7402m/z",0.42439,-1.2365
"599.75_920.772m/z",0.42442,-1.2364
"427.05_1550.2566m/z",0.4253,-1.2335
"347.88_1464.1062m/z",0.42532,-1.2334
"599.75_921.7753m/z",0.42552,-1.2327
"306.36_802.5382m/z",0.42615,-1.2306
"338.53_739.513m/z",0.42634,-1.2299
"606.94_871.7595m/z",0.42688,-1.2281
"650.74_989.7184m/z",0.42691,-1.228
"576.48_656.5511m/z",0.42712,-1.2273
"341.72_879.5342m/z",0.42721,-1.227
"609.21_821.7439m/z",0.42733,-1.2266
"646.63_563.5046m/z",0.42747,-1.2261
"561.42_788.6757m/z",0.42754,-1.2259
"568.72_840.7081m/z",0.42757,-1.2258
"Ornithine",0.4276,-1.2257
"269.29_555.4526m/z",0.4278,-1.225
"420.09_664.5034m/z",0.4282,-1.2236
"297.58_553.4248m/z",2.3341,1.2228
"70.01_368.2345m/z",0.42851,-1.2226
"291.2_559.4708m/z",2.3291,1.2198
"328.72_765.5263m/z",0.43013,-1.2171
"602.49_946.7875m/z",0.43024,-1.2168
"653.25_618.5545m/z",0.43053,-1.2158
"503.36_854.7015m/z",0.43053,-1.2158
"TG(48:2)",0.43068,-1.2153
"696.02_974.9128m/z",0.43071,-1.2152
"639.56_983.8082m/z",0.43079,-1.2149
"112.68_992.678m/z",0.43114,-1.2138
"583.32_924.7175m/z",0.43179,-1.2116
"328.27_783.5649m/z",0.43228,-1.21
"601.58_834.7474m/z",0.43261,-1.2089
"615.6_927.7438m/z",0.43288,-1.208
"359.98_722.5137m/z",0.43413,-1.2038
"618.57_950.8106m/z",0.43419,-1.2036
"599.75_942.7071m/z",0.43421,-1.2035
"81.87_428.1957m/z",2.3025,1.2032
"420.78_549.4885m/z",0.43448,-1.2026
"359.98_723.5169m/z",0.43491,-1.2012
"611.5_551.5017m/z",0.43502,-1.2008
"634.31_978.8453m/z",0.43505,-1.2007
"V3CH",0.43526,-1.2
"618.57_949.8068m/z",0.43545,-1.1994
"53.25_445.2227m/z",0.43605,-1.1974
"618.57_948.8034m/z",0.43605,-1.1974
"80.96_647.0349m/z",0.43611,-1.1972
"112.68_993.681m/z",0.43637,-1.1964
"625.41_829.7182m/z",0.43658,-1.1957
"647.32_589.5207m/z",0.43661,-1.1956
"472.91_832.6683m/z",0.43686,-1.1947
"V3FC",0.43688,-1.1947
"608.76_834.7519m/z",0.43692,-1.1946
"341.72_842.5817m/z",0.4377,-1.192
"581.5_790.6918m/z",0.43788,-1.1914
"616.06_944.7223m/z",0.438,-1.191
"573.06_799.6785m/z",0.43914,-1.1873
"615.6_928.7471m/z",0.43931,-1.1867
"669.1_945.8682m/z",0.43938,-1.1864
"602.49_947.791m/z",0.44005,-1.1842
"326.44_935.5657m/z",0.44016,-1.1839
"609.21_824.7553m/z",0.44044,-1.183
"389.75_772.6055m/z",2.2702,1.1828
"634.31_859.703m/z",0.44061,-1.1824
"573.29_821.6643m/z",0.44162,-1.1791
"634.09_838.7783m/z",0.44163,-1.1791
"662.6_890.8196m/z",0.44165,-1.179
"659.18_880.8259m/z",0.44189,-1.1782
"662.6_881.7589m/z",0.44192,-1.1781
"575.11_932.8118m/z",0.44228,-1.177
"370.35_1592.1675m/z",0.44247,-1.1763
"633.63_950.8192m/z",0.4428,-1.1753
"PC(16:0/20:5)",0.44289,-1.175
"270.43_439.3784m/z",0.44346,-1.1731
"634.08_939.8218m/z",0.44443,-1.17
"306.59_820.5507m/z",0.44468,-1.1691
"591.77_841.6736m/z",0.4447,-1.1691
"634.77_549.4884m/z",0.44485,-1.1686
"378.34_807.6383m/z",2.2471,1.1681
"659.18_581.5416m/z",0.44517,-1.1676
"359.29_721.4997m/z",0.44555,-1.1663
"583.1_918.756m/z",0.44604,-1.1647
"634.09_841.7273m/z",0.44641,-1.1636
"591.54_824.6833m/z",0.44661,-1.1629
"171.65_695.3594m/z",2.2377,1.162
"659.18_1005.7397m/z",0.44711,-1.1613
"112.68_989.6591m/z",0.44726,-1.1608
"658.27_552.5071m/z",0.44735,-1.1605
"71.61_619.0038m/z",2.2348,1.1601
"633.86_971.7499m/z",0.44778,-1.1591
"371.04_811.6034m/z",2.2272,1.1553
"370.35_1593.1709m/z",0.4498,-1.1526
"634.09_842.7308m/z",0.44991,-1.1523
"659.18_879.8224m/z",0.45022,-1.1513
"491.5_645.5426m/z",0.45028,-1.1511
"394.77_889.5187m/z",0.45042,-1.1507
"609.21_823.7503m/z",0.45059,-1.1501
"TG(52:1)",0.45135,-1.1477
"328.72_913.5711m/z",0.45191,-1.1459
"301.46_376.2595m/z",0.45201,-1.1456
"338.53_738.5104m/z",0.45223,-1.1449
"77.08_391.1552m/z",0.45233,-1.1446
"582.87_920.763m/z",0.45245,-1.1442
"483.63_525.4626m/z",0.45249,-1.1441
"591.54_855.6533m/z",0.45255,-1.1439
"618.34_951.8141m/z",0.453,-1.1424
