"","Overall"
"409.6_815.6281m/z",100
"PC(18:0/20:3)",25.041
"409.6_816.6295m/z",9.134
"409.6_814.6245m/z",0.87908
"409.6_812.6178m/z",0.20084
"409.6_813.6214m/z",0
