"","Fold Change","log2(FC)"
"586.52_773.6544m/z",2.1286,1.0899
"163.89_402.3495m/z",2.128,1.0895
"100.58_419.2562m/z",0.47053,-1.0876
"541.46_716.5895m/z",2.119,1.0834
"90.32_301.2166m/z",0.47286,-1.0805
"603.86_773.6637m/z",2.1127,1.0791
"379.71_827.5841m/z",0.47498,-1.0741
"583.1_761.6079m/z",2.1052,1.074
"110.62_642.3172m/z",0.47517,-1.0735
"92.83_393.2403m/z",0.4759,-1.0713
"615.83_509.4568m/z",2.1009,1.071
"157.27_503.3127m/z",0.47672,-1.0688
"LPI(18:0/0:0)",0.47702,-1.0679
"91.68_456.227m/z",0.4777,-1.0658
"541.92_741.6014m/z",2.0934,1.0658
"596.1_785.6639m/z",2.0918,1.0648
"112.45_599.3197m/z",0.47834,-1.0639
"112.68_597.3039m/z",0.47939,-1.0607
"110.85_605.3644m/z",0.48153,-1.0543
"563.48_744.6199m/z",2.0737,1.0522
"110.85_653.3007m/z",0.48384,-1.0474
"603.86_774.6676m/z",2.0645,1.0458
"584.01_551.5029m/z",2.0631,1.0448
"541.92_794.6684m/z",2.0625,1.0444
"670.01_880.8333m/z",2.0615,1.0437
"307.04_810.5211m/z",0.48521,-1.0433
"586.52_771.6478m/z",2.0601,1.0427
"538.84_768.6546m/z",2.0595,1.0423
"563.25_759.6043m/z",2.0571,1.0406
"538.95_767.6512m/z",2.0571,1.0406
"583.1_762.6117m/z",2.0552,1.0393
"596.1_780.7077m/z",2.0512,1.0364
"670.01_885.7892m/z",2.045,1.0321
"563.47_743.6165m/z",2.023,1.0165
"586.52_772.6511m/z",2.0193,1.0138
"54.62_363.1239m/z",0.49539,-1.0134
"588.34_494.4281m/z",2.0178,1.0128
"199.37_617.367m/z",0.49719,-1.0081
"585.83_550.4913m/z",2.0087,1.0062
"110.85_604.3614m/z",0.49933,-1.0019
"LPI(20:3/0:0)_2",0.50015,-0.99956
"263.59_422.3196m/z",0.50036,-0.99895
"PI(16:0/16:0)",0.50163,-0.99531
"347.66_830.5212m/z",0.5018,-0.99483
"604.31_552.5063m/z",1.9927,0.99472
"267.47_568.4453m/z",1.9794,0.98507
"516.59_708.6157m/z",1.9792,0.9849
"383.13_855.6963m/z",1.9768,0.98319
"72.06_583.2503m/z",1.9745,0.98149
"81.87_414.2163m/z",0.5068,-0.9805
"417.81_769.5575m/z",0.50732,-0.97903
"54.84_265.1473m/z",0.50995,-0.97157
"307.04_809.5177m/z",0.5101,-0.97116
"541.92_757.59m/z",1.9535,0.96604
"581.5_791.695m/z",1.9459,0.96046
"49.59_387.2935m/z",1.9411,0.95689
"347.2_792.5631m/z",0.51541,-0.95621
"625.41_823.1m/z",1.935,0.95235
"347.88_927.4953m/z",0.51845,-0.94772
"581.5_790.6918m/z",1.928,0.94711
"670.01_551.5045m/z",1.9261,0.9457
