"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6"
"409.6_816.6295m/z",-1.0043,0.12543,-0.018899,0.00094823,-0.0035875,0.00052365
"409.6_814.6245m/z",-0.0079785,-0.0065828,0.30421,-0.24235,0.92314,0.14368
"409.6_813.6214m/z",0.0022019,0.0016703,-0.084262,0.066966,-0.2562,0.98852
"PC(18:0/20:3)",0.0089627,-0.18424,-0.75606,-0.40916,0.18645,-0.016391
"409.6_812.6178m/z",0.0061463,0.019639,-0.60835,0.87734,0.25338,-0.043738
"409.6_815.6281m/z",0.02953,0.97719,-0.1982,-0.096644,0.037179,-0.0030004
