"","PC1","PC2","PC3","PC4","PC5","PC6"
"994",-0.20565,0.00060738,-0.0020973,5.5167e-05,0.0028659,-7.155e-06
"1029",-0.13135,0.01322,-0.0048369,0.00026174,-0.0079918,1.0724e-05
"1038",-0.23042,0.012534,-0.0056587,0.00033749,-0.0040614,-2.4278e-06
"1078",-0.1652,0.027442,-0.0016395,0.013125,0.00070473,-5.3624e-06
"1107",0.1781,0.012271,-0.0076361,-0.014604,-0.0014755,-4.3277e-06
"1119",0.1406,0.012975,-0.0036798,-0.0022383,-0.0025176,-4.6494e-06
"1131",-0.19154,0.030903,0.023139,-0.010533,0.0070829,1.1327e-06
"1136",-0.19479,-0.020937,-0.0030982,0.00025465,0.0036329,-1.6307e-06
"1151",0.17545,0.0073143,0.00056782,0.0024847,0.0034644,3.0593e-06
"1168",-0.19534,0.010801,-0.003912,-0.0017669,-0.0019813,-4.9996e-06
"1169",0.11057,-0.013457,0.0049418,0.0012486,-0.00027394,-2.2528e-06
"1177",-0.19995,0.023732,-0.0019905,0.0047846,-0.0032777,-6.0606e-06
"1207",0.018342,-0.0085146,0.0041806,0.002061,0.00013816,-3.8712e-06
"1242",-0.26302,0.0054083,-0.0066084,6.4542e-05,0.0049028,-2.5186e-06
"936",-0.040663,0.016534,-0.010604,0.0010801,0.0061608,2.0057e-05
"970",-0.053409,-0.0046554,-0.0024031,-0.00064913,0.0001151,-4.8237e-06
"971",0.19459,0.0096426,-0.0065649,-0.00049409,0.0022937,6.4063e-06
"976",-0.040319,-0.010255,-0.0015311,0.0011988,0.0033849,-2.0276e-07
"1019",-0.39553,-0.015348,0.0014377,-0.00020625,-0.0010787,1.6843e-06
"1024",0.1492,-0.0043134,-0.0025191,-0.00098441,0.00059155,-1.2861e-06
"1033",0.11705,-0.010061,3.8673e-05,0.0031754,0.0046395,9.5071e-06
"1046",0.042279,-0.0094594,0.010173,0.0029033,-0.0020797,2.9945e-06
"1054",0.16713,0.0022131,0.0045826,0.0012976,0.001693,-4.0283e-06
"1056",0.10997,-0.01284,0.0018636,0.00011417,0.0026207,-7.3703e-07
"1090",-0.093496,-0.012595,-0.0029168,0.00089902,0.0033268,-3.8366e-07
"1092",0.066438,-0.011638,0.0065186,0.00029714,-0.0031427,4.7069e-06
"1097",-0.11584,-0.016747,-0.0024401,-0.00020371,0.0034331,-1.4578e-06
"1100",0.19532,0.0075245,-0.00079693,-0.00069707,-0.0016459,-3.9321e-06
"1104",-0.028779,-0.011622,0.0027355,0.00077381,-0.00029143,-3.2819e-06
"1106",0.084784,-0.014596,0.0032723,-0.0011921,-0.0039531,5.2746e-06
"1110",0.12988,0.0092904,0.003359,0.0061322,-0.00025691,-4.389e-06
"1112",0.07941,-0.0034924,0.0019249,0.0028293,0.0020867,-2.0379e-06
"1114",-0.16256,-0.020038,0.0057738,0.0054995,-0.0044287,8.7242e-06
"1117",0.12651,0.0026164,-0.0020784,0.00071473,0.0043941,6.4725e-06
"1127",-0.031213,-0.014171,-0.0047561,-0.0049787,-0.0034833,1.3619e-06
"1128",0.10617,-0.0010814,0.0043781,0.0030146,0.0015896,-3.8261e-06
"1129",-0.20258,-0.0077286,-0.0013214,-0.00047116,0.0028309,-6.3155e-06
"1134",-0.023678,-0.0080068,-0.0029597,-0.0023947,-0.00037808,-3.9965e-06
"1143",0.1856,0.014416,-0.0063318,0.00051384,0.001069,2.4059e-06
"1152",0.15225,0.0043146,0.0039908,0.0013522,-4.0789e-05,-4.6708e-06
"1153",-0.19145,0.030462,0.011275,-0.0034324,-0.00010687,5.5503e-06
"1164",0.19296,0.0022254,-0.0011557,-0.00022493,0.001153,-1.1263e-06
"1172",-0.12585,-0.0076639,0.0013864,-0.0021205,-0.0013541,-9.2791e-07
"1173",0.17281,0.0023692,-0.0022211,-0.0012486,0.00086483,-1.9253e-06
"1192",-0.055577,-0.013881,9.6237e-05,-0.0029978,-0.0037126,5.1398e-06
"1194",-0.023446,-0.0081887,-0.0027407,-0.0035328,-0.0004016,-3.9503e-06
"1195",0.11411,0.0015869,-0.00055581,-0.00080723,-0.0023846,-2.9185e-06
"1197",0.13172,0.0074047,-0.002993,-0.00075552,-0.0025999,-3.8446e-06
"1198",0.16769,-0.0065449,0.0028653,0.0024859,0.00073483,-1.8107e-06
"1205",0.059501,-0.0027744,0.0034123,-0.0017355,-0.0030342,2.1198e-06
"1210",-0.068638,-0.0058901,0.0022517,-0.0028267,-0.0041458,8.7005e-06
"1234",0.056478,0.028887,-3.8635e-05,0.0038477,-0.0065965,1.3824e-06
"1236",-0.048087,0.0025298,-0.0071829,-0.00036312,0.0037172,3.2346e-06
"1238",-0.065939,-0.011902,-0.0063055,-0.003243,-0.0011892,-3.2555e-06
"1243",0.11941,-0.010823,0.0074093,0.0018948,-0.0016069,-2.5484e-07
