"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30"
"1119",-0.98636,0.15603,-0.39183,-0.063981,-0.26822,-0.17858,-0.36748,0.018268,-0.010105,-0.043891,-0.27034,0.043165,-0.070094,0.051568,0.014324,-0.063274,-0.053135,-0.042117,0.020361,0.020542,-0.0039664,0.0095802,0.0080581,0.010189,0.0067048,0.0025889,0.00024108,0.0047543,0.00049659,-0.00069542
"1131",0.0035046,0.71914,0.31315,-0.1292,0.44189,-0.24109,-0.049587,-0.17033,-0.073268,0.068047,0.0044925,0.022191,0.020422,0.014788,0.032272,0.02301,-0.013764,-0.010085,0.010081,-0.014421,-0.0026217,0.018337,-0.004759,-0.0018746,-0.002537,-0.0082728,-0.017708,0.0020747,-0.0021119,0.0068099
"1136",0.98499,-0.20863,-0.044457,-0.1112,-0.018633,-0.16817,0.12635,0.033924,0.10301,-0.008586,-0.20659,-0.036824,0.026525,-0.034632,-0.015152,0.015553,0.027801,-0.0096412,0.017934,0.0036359,-0.0061537,-0.016549,0.029833,-0.0066528,-0.017795,-0.003903,-0.0011273,-0.00031041,-0.00031458,-0.00051676
"1151",0.70424,0.0030958,0.083736,0.14556,-0.080165,-0.032562,-0.22892,-0.047401,-0.00022162,0.16169,-0.057525,-0.09134,-0.0030552,-0.048279,-0.034498,-0.0079298,0.0057891,-0.0087909,0.013113,-0.0047936,-0.0039584,-0.03961,-0.010129,0.0069822,0.009667,-0.0046598,0.0023306,-0.0029208,0.0025727,0.0053
"1168",0.49858,0.90795,0.097259,0.26367,-0.22416,-0.1536,-0.035033,-0.049513,-0.096638,-0.11811,-0.097958,0.053448,0.061783,0.010077,0.048966,0.031945,-0.0075161,0.011954,-0.058376,0.00021877,-0.015209,-0.0085491,0.0090404,0.0037082,0.0001307,-0.00093883,0.0048312,0.0014452,0.0001902,0.00049244
"1169",1.0466,-0.3101,-0.16411,-0.11805,-0.27198,-0.097521,0.097954,0.21395,-0.075467,0.012742,0.049345,0.025658,-0.084014,0.06369,-0.019251,-0.036536,-0.022563,0.021271,-0.030509,0.0062325,-0.0011245,0.0053749,-0.012577,-0.015823,-0.0093305,0.0070172,0.0014084,0.0044301,7.1157e-05,0.0017703
"1177",-0.79748,0.77278,0.10782,-0.94579,0.21942,0.23132,0.22611,0.088933,-0.17603,0.090289,-0.13257,-0.038108,-0.013272,-0.028997,0.046068,0.027878,-0.032815,0.0052428,0.010693,-0.0072156,-0.0025914,-0.0060054,0.00058178,-0.0074252,0.0056335,0.00081439,0.0015345,-0.00026108,-0.0024312,-0.0019801
"1207",1.042,-0.42258,-0.37591,-0.028005,-0.016197,-0.088146,-0.12579,0.18286,-0.058471,-0.10367,-0.18904,-0.081997,-0.073503,-0.0057201,-0.021127,0.0056601,-0.01468,-0.023033,-0.015962,-0.0233,-0.0011071,0.0068943,0.016229,-0.0097586,0.0025051,-0.010074,-0.0016369,0.0019253,0.0016861,0.00055496
"1242",1.4887,0.8068,-0.34118,0.18798,0.10526,0.30585,-0.049851,-0.1683,-0.040649,-0.10662,-0.19127,0.024367,-0.092923,0.097448,-0.053562,0.029375,0.031176,0.013109,-0.0094076,0.04258,0.023867,-0.0042309,-0.00028927,-0.0090495,0.0077992,0.0012285,-0.0003448,-0.0022259,0.00023977,0.00047865
"936",0.52969,0.3939,0.65447,-0.20386,-0.022466,0.035462,-0.027274,-0.0054019,-0.068112,0.015832,0.09322,0.065943,0.0096747,-0.010292,0.00070219,-0.052237,0.018617,-0.0057876,0.018266,0.016013,0.016041,0.012771,0.0036084,-0.0022451,-0.0033842,-0.0035815,0.0053858,0.0024016,0.0048901,0.0029875
"970",0.03614,0.068159,-0.11678,0.04713,-0.085568,-0.1489,0.12506,-0.039882,0.06025,0.10631,-0.13731,0.079145,0.026654,0.015815,0.037919,-0.063497,0.026948,0.003093,-0.0071409,0.01029,-0.004237,-0.0091974,-0.0066075,-0.0081777,0.0012983,0.0034442,0.0001272,0.0002228,-0.0020008,-0.00016925
"971",-0.64604,0.18026,0.025042,-0.35734,-0.14704,0.22302,-0.034315,0.33993,-0.094127,-0.10536,0.20339,-0.00038247,0.098436,-0.014796,0.0087888,0.0044891,0.028606,-0.0090921,-0.0039674,0.021714,-0.0027612,-0.0064517,0.00065954,-0.0074809,-0.0059236,0.00015867,-0.0060651,-0.0032313,0.0022118,-0.00076187
"976",0.040774,0.057414,-0.39181,0.05621,0.094165,-0.087383,0.079035,-0.019346,0.023334,0.048264,-0.07724,0.094182,0.013885,0.077056,0.096292,-0.020823,0.018798,0.010349,0.0031403,-0.0070423,-0.0040094,0.018869,-0.014725,0.012244,0.0014781,0.0038697,0.0035728,-0.0070103,0.0011872,0.0013005
"1019",0.28899,-0.55777,0.2981,0.16683,-0.080639,-0.15163,0.3468,0.047998,-0.020347,-0.33102,-0.066379,-0.10903,0.063311,0.028769,0.088854,-0.018825,-0.0050206,-0.0036878,0.032558,0.019191,0.0093281,-0.016128,-0.0080405,-0.0016088,0.010186,-0.010645,0.0013442,-0.0016491,-0.0049128,-0.0006603
"1024",-0.23839,0.099092,-0.28462,-0.054354,0.16191,0.19429,-0.11646,0.38393,-0.11788,-0.11425,0.012189,0.054542,0.081948,0.03374,0.0077168,0.035546,-0.039692,-0.021463,-0.015245,-0.00030737,0.0029697,-0.0015054,-0.00082692,0.010412,-0.0043616,0.0066499,0.003067,0.0011238,0.0033308,0.0012477
"1033",-0.49877,-0.63884,-0.072685,0.33316,-0.26003,0.16843,0.20722,0.11226,-0.078547,-0.022488,-0.017051,0.030262,-0.028594,-0.071598,0.039024,-0.016748,-0.022217,-0.014495,0.0064386,-0.0024592,-0.010699,0.01717,-0.0057674,-0.0096942,-0.0089341,0.00012893,0.0019621,0.00052269,0.0014157,0.0038449
"1046",0.59502,-0.34651,0.024434,0.10063,-0.08495,0.019189,0.00097121,0.19588,0.28052,-0.11108,0.16952,0.035318,-0.047822,0.046257,0.0030705,0.011671,0.019665,0.0068802,-0.017702,-0.030259,-0.0055886,-0.0085789,-0.0021147,-0.0011186,0.016821,-0.00095461,-0.0019374,0.0061126,-0.0044649,0.0030686
"1054",0.33014,0.2562,-0.94337,0.2637,0.20071,-0.19441,-0.026878,-0.0074405,0.17432,0.087306,0.25955,-0.060759,0.041456,0.0036954,0.071879,-0.054018,0.0011356,0.0059709,-0.0039903,0.010985,0.0047771,0.0027127,0.010735,-0.0077262,0.00015264,0.0032437,-0.0072029,-0.0027217,-0.0032604,-0.0023244
"1056",0.040693,-0.31827,0.20443,-0.28794,-0.025007,-0.0512,0.021298,0.012189,0.029789,0.14837,0.036453,0.062793,0.044735,0.018075,0.021562,0.019012,-0.0021774,0.026563,0.013186,0.027462,0.0011028,0.0076896,0.0019986,0.018665,0.0047192,0.0083034,0.00059388,0.0020841,-0.0024709,0.00092919
"1090",0.64235,-0.17045,0.261,0.044947,-0.10752,0.012342,0.15847,0.046125,0.095023,-0.040401,0.015795,-0.023413,0.045176,-0.10934,-0.015831,0.0029833,-0.013308,0.011278,-0.015192,0.012638,0.02163,0.0011015,0.0057971,0.0094553,0.0014311,2.2917e-05,0.0014684,0.0052251,-0.00079013,0.0011258
"1092",-0.34259,-0.45505,0.16404,-0.017705,-0.11318,0.059866,-0.015868,-0.010418,-0.07108,0.003031,-0.085141,0.079549,0.10175,0.05251,0.013984,0.017234,0.028711,-0.018086,-0.0018031,-0.0049975,-0.028656,-0.004611,0.00090019,-0.0023877,0.00092959,0.0067274,-0.0038099,-0.0019388,-0.0048263,-0.00030557
"1097",-0.10858,-0.42592,0.3056,-0.35294,0.22972,-0.077042,-0.18717,0.064195,-0.11162,-0.31658,-0.048099,-0.013567,0.050902,-0.1081,0.028123,-0.031314,0.01011,0.019243,-0.010331,-0.010552,0.0082466,0.005318,0.00082193,0.002326,0.0074612,0.0079341,-0.0033577,-0.0070221,0.0052642,0.00093196
"1100",-0.059404,0.42219,-0.18788,0.43248,-0.095016,0.28833,-0.029229,0.051613,-0.09448,0.13972,0.075331,-0.10985,0.01603,0.0015131,0.020277,0.051322,-0.0097845,-0.0015997,0.019592,-0.012276,0.021164,-0.010798,-0.0058845,0.00020469,-0.0044773,0.0029871,0.0027377,0.0012573,-1.209e-05,0.0013633
"1104",0.58623,-0.48338,0.30353,-0.03129,0.13022,-0.030943,0.02227,-0.06375,0.039649,-0.027178,0.045242,0.12952,0.04176,-0.017188,-0.078324,0.011371,-0.030222,-0.026086,0.0088246,0.027924,0.0090068,-0.0071594,0.00083362,0.0064329,-0.003933,0.0026012,-0.0013365,0.0025724,-0.0035442,-0.0011991
"1106",0.65258,-0.52091,-0.022249,0.15918,0.19082,-0.088945,0.0070679,-0.031996,-0.18799,-0.10287,0.28324,0.13378,-0.046959,0.06817,-0.010203,0.025639,0.0078326,-0.017976,0.022135,-0.007884,-0.00091198,-0.0032561,0.010043,-0.0031737,-0.0018085,0.0022671,0.0012178,0.0035173,0.0028026,-0.0010172
"1110",0.39159,-0.12528,0.45925,-0.056372,-0.27151,0.15892,-0.026974,0.045747,-0.11828,0.10872,0.001569,-0.058726,-0.036154,0.045612,0.012002,-0.016778,-0.023968,-0.0022983,-0.004047,-0.0038017,-0.003869,0.0024837,-0.0051558,-0.0081343,0.0015045,-0.0027764,0.0015962,-0.0061469,-0.0037446,0.0017681
"1112",-0.0057839,-0.27959,0.23466,0.3746,0.51809,0.18399,0.046361,0.11427,-0.029377,0.15482,-0.011969,-0.00084376,0.019085,0.07433,-0.032179,-0.044458,0.00014764,-0.01018,-0.025322,-0.012121,0.00046554,-0.0026932,0.016827,0.015892,-0.0035687,-0.0063993,0.0066856,-0.0072344,-0.0043462,0.0011757
"1114",1.0104,-0.15124,-0.13893,-0.042496,-0.070264,-0.0486,0.25145,-0.012936,-0.095692,-0.024365,-0.11015,0.083925,-0.11542,-0.060785,-0.046679,0.029016,0.018174,0.016348,0.0028053,-0.020949,-0.0013426,0.013111,-0.022928,0.007098,-0.0011065,0.0024678,0.001184,-0.00034928,-0.0031043,-0.0014084
"1117",-1.0001,0.16432,0.073467,0.028049,-0.29305,-0.4379,-0.10214,-0.02333,0.19249,0.067972,0.11676,0.070372,-0.066651,-0.04232,-0.022161,0.032002,0.0049289,0.013491,-0.0064514,0.022237,0.0092807,-0.001209,0.0094957,0.0040009,-0.0019876,0.0029887,-0.0011871,-0.00040608,-0.0025359,0.0023531
"1127",1.129,0.037066,-0.27549,0.069443,-0.11042,-0.23512,0.079944,0.02833,0.16393,0.11191,0.023132,-0.1777,-0.0060676,0.01333,0.016378,0.033538,-0.022609,0.0015705,0.0016078,-0.02646,0.011354,0.014676,0.0083743,0.0019717,0.01017,0.00076338,-0.0015714,-0.0041142,0.0060749,-0.0036443
"1128",0.70647,-0.32285,-0.47958,0.054442,-0.27227,0.18002,0.10911,-0.14168,-0.15203,-0.031289,0.17579,-0.11043,-0.081042,-0.0042424,0.015774,0.024627,-0.036682,-0.0042148,0.004494,0.018251,-0.0064742,0.0039609,0.0029036,0.018232,-0.0048832,-0.010101,-0.0028592,-0.0027768,0.00011181,-0.00062198
"1129",-0.37737,-0.32334,-0.21405,-0.62968,0.027854,0.11933,0.077422,-0.39524,0.064249,-0.1031,0.040127,-0.16445,0.030799,0.061961,0.067463,0.019137,0.0047579,-0.005849,-0.02025,0.0075883,0.00051522,-0.0094272,-0.011208,0.0038624,-0.0066349,0.0028529,0.0032709,0.0041824,0.001013,0.00060176
"1134",-0.75529,0.18555,0.089243,0.049448,0.070801,-0.66367,-0.1126,0.22396,0.16473,-0.034393,0.051233,-0.087171,-0.077088,-0.0028302,0.035111,0.038087,-0.0026617,0.005761,0.011805,0.0020171,-0.010391,-0.015044,-0.013749,0.00049115,-0.010072,0.0023533,0.0049846,-0.0042445,0.00037896,0.00065695
"1143",0.18408,-0.050673,0.12983,-0.49852,0.07661,-0.17519,-0.16588,0.041522,-0.13436,0.075706,0.18487,0.077752,-0.084544,0.051741,-0.010556,-0.0060656,0.02486,0.0053801,-0.010829,0.019725,0.0044575,0.0003711,-0.0034746,-0.0021048,-0.0011286,-0.012568,0.0013732,-0.0033033,0.0043349,-0.0017563
"1152",-0.74614,-0.3332,-0.059124,-0.62921,-0.15418,0.27571,-0.17057,-0.039615,0.15115,0.067326,-0.036788,-0.21427,-0.048316,0.015007,0.017776,-0.019964,0.018357,0.019604,-0.013046,-0.0072037,-0.0065245,0.0020868,0.0088269,0.0056335,-0.010641,-0.0031355,-0.0028343,0.0043926,-0.0043956,-0.00065484
"1153",-1.0227,0.11939,-0.61375,0.098749,0.32313,-0.0030603,0.012642,-0.012257,0.10473,-0.32662,-0.016238,-0.048804,0.12825,0.040756,-0.15707,-0.004311,-0.036263,0.055102,0.011462,0.0073289,-0.014013,0.004051,-0.0066947,-0.0034419,-0.0012327,-0.0046871,-0.00073291,-0.00032588,-0.00016469,0.0012984
"1164",-0.35229,0.2024,-0.3339,0.20548,-0.35021,0.14698,-0.028881,0.18402,-0.13425,0.011239,-0.095197,0.02423,0.057861,-0.078048,0.032611,0.00849,0.030468,0.014141,-0.0045741,0.0080033,0.02541,0.0095872,0.0033554,0.0050736,0.0057212,-0.002527,-0.0072888,-0.00074935,-0.002344,-0.00040602
"1172",-0.047329,-0.37893,0.30156,-0.016743,0.21427,-0.0055025,-0.010413,-0.34761,-0.078752,-0.085728,0.096516,-0.045427,-0.0049448,-0.021185,0.03043,0.0011656,-0.025743,0.0042988,-0.012286,-0.0075225,-0.011911,-0.0006414,0.017155,-0.0024308,0.012942,0.0090674,0.0014072,0.0022011,0.0030056,0.00031411
"1173",-1.2829,-0.52495,0.095763,0.47293,-0.099241,0.10756,-0.0075465,-0.20003,-0.15724,0.062166,-0.01899,0.099891,-0.049988,-0.026827,0.010007,0.032056,0.027749,0.037828,-0.00042466,0.0092925,-0.024091,0.011696,0.019382,-0.0059691,0.0015786,-0.0027821,0.0028272,-0.0019047,0.0014023,0.00063602
"1192",-0.0054467,-0.32862,-0.083147,-0.47224,0.14096,-0.17122,-0.025828,0.039776,-0.043247,-0.037622,-0.10711,0.12383,-0.13471,0.0271,0.017931,0.0073306,0.033477,0.018381,0.018565,-0.016571,0.011507,-0.0075249,0.00013864,0.0027962,0.0030031,-0.0020246,-0.00019227,0.0050427,0.0022703,-0.0014373
"1194",0.013426,-0.35257,0.43856,0.22833,0.14571,0.010565,-0.26784,-0.12625,0.038963,-0.056195,-0.09685,-0.093905,0.08273,0.041988,0.023807,0.039725,0.02191,-0.021889,0.01045,0.0032366,0.0037114,0.0097124,-0.0060805,-0.011183,-0.0047059,0.0024192,0.0013297,-0.0024574,-0.00031174,-0.0011973
"1195",0.90783,0.096878,-0.14611,0.24364,-0.14988,0.20828,-0.13025,-0.14999,0.0091887,0.024117,0.087251,-0.11639,0.034405,-0.035847,-0.030987,-0.043885,0.019604,-0.016886,0.010976,-0.0032577,-0.0090981,-0.0069595,-0.014655,-0.0037599,0.0019137,0.0080086,-0.0013909,0.0041871,0.0027633,8.2858e-05
"1197",-0.39898,0.033927,0.094389,-0.16274,-0.10438,0.03069,0.11062,0.12824,0.088833,0.19489,0.015395,0.11739,0.12142,0.031575,-0.023263,0.01567,0.0014585,-0.0078601,0.004772,-0.0058744,0.0039977,-0.0087259,0.01369,-0.0072067,0.012693,0.0019247,-0.00031928,0.0026839,-0.0004018,-0.00061728
"1198",0.95649,0.079683,-0.65476,0.16563,0.22743,0.070969,-0.07613,0.088603,-0.10407,0.15417,-0.079197,-0.015299,-0.01387,-0.075157,0.012121,0.020528,0.014739,0.0070097,0.024759,0.018216,-0.04023,-0.003182,-0.0016525,0.0011252,0.00076559,0.0052353,-0.00063176,0.0019284,0.0010999,-0.00036697
"1205",0.57985,-0.33054,0.49139,0.22149,-0.010115,-0.075346,-0.2885,-0.081383,0.075869,0.026268,-0.11407,-0.041241,0.0551,-0.023565,-0.029939,0.0075895,0.0011668,0.0098684,-0.0040534,-0.0037008,0.014787,0.024832,-0.0094183,-0.0011492,-0.0066855,-0.0011214,0.00066654,0.0023471,-0.0035814,-0.0019388
"1210",0.097409,0.24902,0.43798,-0.22856,-0.14351,-0.24562,0.14501,0.091102,-0.19255,0.089433,0.0023081,-0.2567,0.0055835,0.04914,-0.14965,-0.01861,0.023473,-0.00042762,0.0073294,-0.0095112,-0.0029968,0.0091448,0.0066539,0.0050421,0.0012501,0.012611,-0.000714,-0.0032383,-0.00094199,-0.00052568
"1234",0.084731,0.4542,-0.016898,-0.10641,-0.55634,0.21675,-0.12523,-0.13253,0.14008,-0.068554,0.02679,0.18869,0.070961,0.051918,-0.0028875,-0.02032,-0.027827,0.043263,0.042148,-0.04301,0.0034113,-0.0063561,0.0087282,0.00043535,-0.007732,-0.00166,0.0026838,-0.0026533,0.0012358,-0.00046783
"1236",-0.60655,-0.2184,-0.41841,-0.27325,-0.077528,0.046478,0.27158,-0.054317,0.24849,0.069799,-0.024938,0.11838,0.076541,0.0099513,-0.081958,0.015109,0.029682,-0.050814,-0.0083649,-0.0029531,-0.010838,0.014987,-0.012891,0.0054762,0.0047745,-0.0072881,-0.0016228,-0.0011269,0.0044418,-0.00014279
"1238",0.31863,-0.1985,0.3717,0.2391,-0.0055328,0.072475,0.065159,-0.026215,0.17161,0.004437,0.026912,0.02249,-0.025369,-0.004543,0.021862,0.0038202,-0.025355,-0.0069841,0.0040239,0.009235,0.0082511,0.0085401,-2.0815e-05,-0.0058631,0.001483,0.0042355,-0.0015029,-0.0041218,0.00094366,-0.0027474
"1243",0.66908,-0.54583,-0.32026,-0.23068,0.16667,-0.051323,-0.055156,-0.22876,-0.060546,0.14826,-0.064429,0.19238,0.03768,-0.06744,-0.022383,-0.016303,-0.041324,-2.2309e-05,-0.025331,-0.015362,0.0173,-0.027064,-0.0094993,-0.0029047,-0.0091486,0.0023894,-0.0056542,-0.0053546,-0.00031906,-0.0015218
