"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30"
"977",-1.4741,0.2486,0.50941,0.75585,0.13674,-0.1883,0.30016,0.021493,-0.2106,0.060784,-0.091858,-0.023813,-0.034656,0.060242,0.0036843,-0.025055,-0.015114,0.013553,-0.0068524,-0.0067526,0.0036528,-0.015521,-0.0050838,0.0054266,-0.0055134,0.00032198,-0.0096137,0.006683,0.0045596,-0.0035185
"980",-2.0865,0.2793,-0.020851,0.047896,-0.13963,0.034373,0.25144,-0.14629,0.25325,-0.06459,-0.070936,-0.029318,-0.10945,-0.044398,-0.033941,-0.0060037,0.0047454,-0.021124,-0.012339,0.0058565,0.0068598,-0.0057029,0.0049445,-0.0041355,-0.00078392,0.0022603,0.0016275,-0.0039762,0.0047448,0.0018837
"1191",-1.5343,-0.17524,-0.40681,0.218,0.37665,0.014269,-0.11204,0.036399,0.044353,0.074749,-0.038548,-0.010555,0.024888,-0.0052326,0.02204,0.031395,0.0098837,-0.01297,0.0015833,-0.012052,0.028844,0.0065416,-0.0038895,-0.0085752,-0.0026607,0.0010715,0.0091757,0.0035282,-0.0019792,-0.00016466
"1224",-1.1486,-0.15888,-0.31349,0.12747,0.42015,0.27239,-0.033333,0.047817,-0.071638,-0.0098377,0.082898,-0.039215,-0.098936,-0.051624,-0.019293,-0.049089,0.035122,0.010447,0.0080904,-0.011029,0.010993,-0.0053437,0.0019773,0.0045867,0.0017873,-0.0010817,0.0014787,0.0019096,-0.0019117,-8.9702e-05
"1228",-1.7096,0.084623,-0.11996,0.038883,-0.42641,-0.14689,-0.17678,-0.16224,-0.29814,0.035102,0.15876,-0.013506,0.0042105,-0.018269,-0.049531,0.0082702,-0.0093774,-0.016894,-0.0089173,-0.0083913,0.0018011,-0.0015334,-0.011222,-0.0076311,0.0096004,-0.006447,0.0012125,-0.0011567,-0.0043321,-0.0024901
"994",0.21909,0.5494,0.26103,0.045117,0.059764,0.36865,0.14726,-0.039259,0.16156,-0.051406,0.056402,0.015659,-0.11759,0.017763,0.015107,0.00271,-0.010919,-0.017701,0.0074173,-0.0074719,0.0035752,0.0043609,0.0064517,-0.0018064,-0.0046649,0.0069173,-0.0035304,-0.0021678,-0.0007557,0.0017319
"1029",0.063232,0.64266,0.6398,0.14618,0.16175,0.29295,-0.20239,0.1084,0.23481,-0.17874,0.046941,0.087253,-0.14802,-0.052992,-0.0047204,0.00074392,-0.0071551,-0.014057,-0.0047237,-0.00060783,-0.024938,-0.0030692,-0.0089576,0.0039465,0.00099128,-0.00093146,-0.0019565,-0.001449,-0.0035396,-0.0048603
"1038",0.66464,0.92735,0.0049604,0.12479,-0.1158,-0.13912,0.03907,-0.11673,-0.066929,-0.16134,0.067899,0.00992,0.11184,-0.034246,0.020739,-0.02332,0.049504,-0.021369,-0.0073837,-0.021269,-0.0041019,0.003626,-0.00018753,0.01089,-0.0087231,-0.0042622,0.0041109,0.0041353,0.00085083,-0.0020245
"1078",0.73022,0.70426,-0.050412,-0.21067,0.31974,-0.21188,0.1573,-0.062844,-0.01139,0.09768,0.087781,0.0066192,0.034221,-0.08388,-0.0086847,-0.022881,-0.032132,-0.000638,0.0041252,0.0062931,-0.011966,0.01222,0.0026873,-0.010047,0.0040727,-0.0048895,0.011359,0.0020759,-0.0033934,-0.00044062
"1107",-0.0057336,-0.24465,0.52723,0.10225,0.090578,0.23941,-0.07078,0.12155,0.21993,0.26476,-0.043333,-0.059602,0.073023,0.0067916,0.019165,-0.0014519,-0.015369,0.033116,-0.0079148,0.014672,-0.011926,0.00082285,-0.012242,-0.0020593,0.00319,-0.010164,-0.00066727,0.0035819,0.0076528,-0.0020349
