"",F.stat,p.value,-log10(p),FDR
401.84_908.5785m/z,2.1617,0.12447,0.90493,0.54143
674.12_914.8158m/z,2.1616,0.12449,0.90487,0.54143
618.8_969.7347m/z,2.1615,0.12449,0.90485,0.54143
109.71_655.3165m/z,2.161,0.12456,0.90462,0.54143
500.39_680.6669m/z,2.1607,0.12459,0.90453,0.54143
LPI(0:0/20:4),2.1607,0.1246,0.90449,0.54143
644.92_878.035m/z,2.1601,0.12466,0.90428,0.54143
376.06_749.5322m/z,2.1595,0.12474,0.90401,0.54143
509.06_706.6349m/z,2.1594,0.12475,0.90397,0.54143
615.83_810.7476m/z,2.1593,0.12475,0.90396,0.54143
401.16_627.5911m/z,2.1592,0.12476,0.90391,0.54143
647.09_1281.607m/z,2.1589,0.1248,0.9038,0.54143
437.77_841.6526m/z,2.1589,0.1248,0.90377,0.54143
611.27_849.7663m/z,2.1589,0.1248,0.90377,0.54143
664.54_857.745m/z,2.1581,0.12489,0.90348,0.54143
566.67_764.6779m/z,2.1581,0.12489,0.90347,0.54143
398.19_788.5159m/z,2.1579,0.12492,0.90338,0.54143
121.35_256.1376m/z,2.1567,0.12506,0.90289,0.5416
647.32_989.7771m/z,2.1564,0.12509,0.90277,0.5416
200.73_579.3896m/z,2.156,0.12513,0.90263,0.5416
596.1_786.668m/z,2.1548,0.12527,0.90214,0.54175
250.12_380.3397m/z,2.1543,0.12533,0.90194,0.54175
431.38_589.0128m/z,2.1542,0.12534,0.9019,0.54175
583.1_364.3112m/z,2.1533,0.12546,0.90151,0.54198
406.86_767.5437m/z,2.1523,0.12557,0.90112,0.54223
346.74_1059.444m/z,2.1512,0.12569,0.90069,0.54241
392.26_841.6423m/z,2.1509,0.12573,0.90056,0.54241
100.81_435.2512m/z,2.149,0.12595,0.8998,0.54272
339.9_759.5644m/z,2.149,0.12596,0.89978,0.54272
287.54_859.5305m/z,2.1488,0.12598,0.89971,0.54272
70.24_370.2495m/z,2.1453,0.12638,0.89831,0.54383
388.38_1558.1893m/z,2.1453,0.12639,0.89829,0.54383
306.36_388.7632m/z,2.1451,0.12642,0.8982,0.54383
357.92_1478.1289m/z,2.1446,0.12647,0.89802,0.54383
559.6_714.6512m/z,2.142,0.12677,0.89697,0.54421
305.22_413.3779m/z,2.1415,0.12683,0.89677,0.54421
365.79_791.5788m/z,2.1411,0.12688,0.89661,0.54421
404.58_792.5543m/z,2.1408,0.12691,0.89649,0.54421
82.33_433.2355m/z,2.1407,0.12693,0.89642,0.54421
340.59_698.5575m/z,2.1404,0.12697,0.89632,0.54421
637.96_891.8128m/z,2.1395,0.12707,0.89595,0.54421
573.29_816.7087m/z,2.1391,0.12712,0.89579,0.54421
450.55_592.4997m/z,2.139,0.12713,0.89576,0.54421
138.34_523.3596m/z,2.1389,0.12714,0.89571,0.54421
644.81_842.7692m/z,2.1383,0.12721,0.89547,0.54426
336.71_744.5551m/z,2.1378,0.12727,0.89527,0.54426
328.49_974.4918m/z,2.1358,0.12751,0.89447,0.54449
610.81_547.4727m/z,2.1355,0.12754,0.89435,0.54449
350.17_384.2752m/z,2.1352,0.12759,0.8942,0.54449
644.58_580.5327m/z,2.135,0.1276,0.89414,0.54449
432.52_801.6481m/z,2.1347,0.12764,0.89401,0.54449
647.09_1169.66m/z,2.1344,0.12768,0.89389,0.54449
SM(d18:2/14:0),2.1321,0.12795,0.89297,0.54488
250.12_393.3147m/z,2.1314,0.12803,0.89268,0.54488
632.72_905.6384m/z,2.1314,0.12804,0.89266,0.54488
480.66_449.8357m/z,2.1313,0.12805,0.89264,0.54488
100.13_561.3389m/z,2.1312,0.12806,0.89258,0.54488
504.95_960.7413m/z,2.1302,0.12818,0.89218,0.54513
100.36_271.663m/z,2.1289,0.12833,0.89167,0.54553
315.94_771.5375m/z,2.1278,0.12846,0.89123,0.54575
143.81_491.3703m/z,2.1274,0.12851,0.89105,0.54575
PC(O-16:1/22:6) and/or PC(P-16:0/22:6),2.1269,0.12857,0.89085,0.54575
378.34_811.6061m/z,2.1265,0.12862,0.8907,0.54575
413.02_416.2907m/z,2.1254,0.12875,0.89024,0.54589
TG(54:1),2.1251,0.12878,0.89014,0.54589
398.19_788.9149m/z,2.1247,0.12883,0.88999,0.54589
517.5_695.6383m/z,2.1241,0.1289,0.88974,0.54595
377.88_868.6045m/z,2.1231,0.12902,0.88934,0.54621
321.42_720.5733m/z,2.1226,0.12909,0.8891,0.54626
345.6_825.5522m/z,2.1215,0.12922,0.88866,0.54656
603.63_769.7115m/z,2.1209,0.12929,0.88843,0.5466
585.38_467.4095m/z,2.1198,0.12942,0.88801,0.5466
556.86_751.633m/z,2.1194,0.12947,0.88782,0.5466
350.4_383.7713m/z,2.1187,0.12955,0.88756,0.5466
390.89_574.5567m/z,2.1185,0.12958,0.88747,0.5466
514.31_904.7165m/z,2.1181,0.12963,0.88729,0.5466
81.87_453.2038m/z,2.118,0.12964,0.88725,0.5466
397.05_1649.225m/z,2.1168,0.12978,0.88678,0.54695
393.62_1050.6744m/z,2.114,0.13012,0.88566,0.54811
368.75_883.5554m/z,2.1122,0.13035,0.8849,0.54882
652.57_1016.7362m/z,2.1116,0.13042,0.88466,0.54888
480.89_902.7017m/z,2.1075,0.13091,0.88302,0.55047
647.09_1280.6063m/z,2.1074,0.13092,0.88299,0.55047
TG(56:4),2.1068,0.131,0.88272,0.55047
601.35_735.5145m/z,2.1063,0.13106,0.88254,0.55047
543.74_647.6531m/z,2.106,0.13109,0.88241,0.55047
296.44_907.5329m/z,2.1051,0.13121,0.88203,0.5507
666.14_589.5561m/z,2.1044,0.1313,0.88175,0.5508
100.36_269.1453m/z,2.1034,0.13141,0.88138,0.5508
96.25_449.3459m/z,2.1034,0.13141,0.88137,0.5508
644.58_891.8219m/z,2.1019,0.1316,0.88074,0.55104
491.5_645.5426m/z,2.1019,0.1316,0.88074,0.55104
326.44_794.5577m/z,2.1013,0.13167,0.88052,0.55104
336.25_846.5214m/z,2.1004,0.13179,0.88012,0.55104
404.35_876.6128m/z,2.1002,0.13181,0.88006,0.55104
456.82_577.5198m/z,2.1001,0.13182,0.88001,0.55104
642.53_938.7499m/z,2.0991,0.13194,0.87963,0.55117
445.98_829.6799m/z,2.0988,0.13197,0.87951,0.55117
650.74_565.5198m/z,2.0981,0.13207,0.8792,0.55131
116.55_423.3226m/z,2.0975,0.13214,0.87895,0.55138
404.12_540.5357m/z,2.0966,0.13225,0.87859,0.55149
376.28_869.5441m/z,2.0961,0.13231,0.87841,0.55149
332.14_446.3719m/z,2.0957,0.13236,0.87824,0.55149
379.94_750.5452m/z,2.0953,0.13241,0.87809,0.55149
613.09_858.7559m/z,2.0938,0.1326,0.87746,0.55183
321.19_489.4053m/z,2.0935,0.13264,0.87734,0.55183
63.62_479.2831m/z,2.0932,0.13267,0.87724,0.55183
81.65_472.2213m/z,2.0921,0.13281,0.87678,0.55203
424.54_834.602m/z,2.0916,0.13287,0.87657,0.55203
660.78_905.1951m/z,2.0904,0.13302,0.8761,0.55203
627.47_973.6868m/z,2.0902,0.13304,0.87602,0.55203
402.3_562.5529m/z,2.09,0.13307,0.87592,0.55203
603.86_849.6961m/z,2.0899,0.13307,0.87591,0.55203
328.49_825.5456m/z,2.0878,0.13334,0.87505,0.55245
349.71_542.3251m/z,2.0878,0.13334,0.87503,0.55245
554.12_815.6948m/z,2.0877,0.13335,0.875,0.55245
408.91_550.3509m/z,2.0869,0.13345,0.87469,0.55246
PC(18:1/20:4),2.0867,0.13347,0.8746,0.55246
657.36_830.7155m/z,2.0858,0.13359,0.87422,0.5527
111.08_279.159m/z,2.0851,0.13367,0.87397,0.55278
336.71_745.5584m/z,2.0841,0.13379,0.87356,0.55305
406.86_603.5357m/z,2.0833,0.1339,0.87323,0.55315
582.87_742.6831m/z,2.083,0.13394,0.8731,0.55315
100.13_545.344m/z,2.0821,0.13405,0.87272,0.55338
610.81_548.4762m/z,2.081,0.13419,0.87227,0.5537
623.36_798.7466m/z,2.0786,0.13448,0.87133,0.55466
674.12_1031.764m/z,2.0775,0.13462,0.8709,0.55497
276.82_753.5397m/z,2.0765,0.13475,0.87047,0.55524
408.45_132.9228m/z,2.0761,0.1348,0.8703,0.55524
563.93_967.76m/z,2.0746,0.13498,0.86972,0.55573
538.95_731.5739m/z,2.074,0.13507,0.86944,0.55585
110.85_653.3007m/z,2.072,0.13532,0.86864,0.55631
524.58_882.729m/z,2.0718,0.13534,0.86859,0.55631
145.41_538.3512m/z,2.0714,0.13539,0.86841,0.55631
397.28_1063.4723m/z,2.071,0.13545,0.86823,0.55631
442.56_184.0739m/z,2.0704,0.13551,0.86802,0.55631
401.16_751.5482m/z,2.0701,0.13555,0.8679,0.55631
97.16_460.3536m/z,2.0688,0.13571,0.86737,0.55631
DG(16:0/18:1),2.0685,0.13575,0.86725,0.55631
192.98_430.3793m/z,2.0685,0.13576,0.86724,0.55631
635.45_847.7625m/z,2.0683,0.13578,0.86716,0.55631
328.72_824.5425m/z,2.0676,0.13587,0.86688,0.55642
328.49_975.4961m/z,2.0671,0.13593,0.86668,0.55643
576.71_867.7261m/z,2.0652,0.13618,0.8659,0.557
121.35_515.2988m/z,2.0648,0.13623,0.86573,0.557
LPA(20:4/0:0),2.0639,0.13635,0.86536,0.557
276.82_754.5429m/z,2.0638,0.13635,0.86535,0.557
417.13_812.618m/z,2.0637,0.13637,0.86528,0.557
447.81_436.3234m/z,2.0626,0.1365,0.86486,0.55711
177.12_446.3328m/z,2.0625,0.13652,0.86481,0.55711
396.82_795.5732m/z,2.0619,0.13659,0.86457,0.55718
111.99_811.2406m/z,2.0611,0.1367,0.86423,0.55719
357.24_782.5708m/z,2.061,0.13672,0.86418,0.55719
121.35_256.642m/z,2.0592,0.13694,0.86346,0.55762
440.05_791.636m/z,2.0591,0.13695,0.86342,0.55762
341.72_976.5072m/z,2.0578,0.13712,0.8629,0.55762
91.68_456.227m/z,2.0569,0.13723,0.86254,0.55762
470.39_912.6635m/z,2.0568,0.13725,0.8625,0.55762
334.43_544.419m/z,2.0566,0.13728,0.8624,0.55762
652.34_591.5353m/z,2.0564,0.1373,0.86233,0.55762
543.74_646.6501m/z,2.0564,0.1373,0.86232,0.55762
425.91_857.6485m/z,2.0553,0.13744,0.8619,0.55792
371.04_811.6034m/z,2.0524,0.13781,0.86071,0.55903
369.67_1038.4617m/z,2.0522,0.13783,0.86065,0.55903
325.75_807.5744m/z,2.0517,0.1379,0.86044,0.55906
667.5_870.8648m/z,2.0503,0.13808,0.85988,0.55934
306.36_399.7557m/z,2.0503,0.13809,0.85984,0.55934
365.11_811.5971m/z,2.0493,0.13822,0.85944,0.55961
529.14_872.7114m/z,2.0485,0.13832,0.85912,0.55979
398.19_1572.2003m/z,2.0475,0.13845,0.85871,0.56004
396.82_794.5699m/z,2.047,0.13851,0.85851,0.56004
615.15_889.7286m/z,2.0466,0.13856,0.85836,0.56004
336.25_956.4497m/z,2.0443,0.13885,0.85744,0.56057
357.24_783.5741m/z,2.0443,0.13886,0.85742,0.56057
286.86_575.5037m/z,2.0427,0.13906,0.85679,0.56057
81.87_437.2095m/z,2.042,0.13916,0.85648,0.56057
635.0_841.8248m/z,2.0417,0.13919,0.85639,0.56057
377.66_787.5958m/z,2.0414,0.13923,0.85626,0.56057
144.73_838.2686m/z,2.0411,0.13927,0.85615,0.56057
647.32_927.749m/z,2.0409,0.1393,0.85604,0.56057
371.27_834.6026m/z,2.0402,0.13939,0.85577,0.56057
517.51_692.6648m/z,2.04,0.13942,0.85569,0.56057
385.3_1573.1921m/z,2.0397,0.13946,0.85556,0.56057
131.95_591.437m/z,2.0395,0.13947,0.8555,0.56057
599.75_943.7091m/z,2.0394,0.1395,0.85544,0.56057
627.47_974.6902m/z,2.0391,0.13954,0.8553,0.56057
611.95_998.8205m/z,2.0381,0.13966,0.85493,0.56076
566.67_786.6223m/z,2.0376,0.13972,0.85473,0.56076
652.11_592.5392m/z,2.0373,0.13977,0.8546,0.56076
381.53_790.5741m/z,2.0353,0.14003,0.85377,0.56159
328.26_981.5057m/z,2.0343,0.14016,0.85339,0.56183
418.73_548.3363m/z,2.0316,0.14051,0.8523,0.56241
TG(56:2),2.0311,0.14058,0.85208,0.56241
379.02_828.578m/z,2.031,0.14059,0.85205,0.56241
363.97_904.5468m/z,2.0307,0.14064,0.8519,0.56241
648.0_888.8032m/z,2.0298,0.14075,0.85155,0.56241
370.35_474.4027m/z,2.0297,0.14076,0.85153,0.56241
112.45_595.3017m/z,2.0285,0.14092,0.85103,0.56241
287.09_858.52m/z,2.028,0.14099,0.85081,0.56241
425.91_427.3115m/z,2.0275,0.14105,0.85064,0.56241
611.04_868.691m/z,2.0275,0.14105,0.85062,0.56241
81.87_455.2196m/z,2.0272,0.14109,0.85051,0.56241
377.66_734.896m/z,2.0264,0.14119,0.85019,0.56241
L5TG,2.0264,0.1412,0.85016,0.56241
599.75_941.7039m/z,2.0264,0.1412,0.85016,0.56241
PC(16:0/20:4)_3,2.026,0.14124,0.85003,0.56241
489.67_804.703m/z,2.0256,0.1413,0.84986,0.56241
334.43_807.5747m/z,2.0254,0.14133,0.84977,0.56241
367.16_438.3045m/z,2.0235,0.14158,0.849,0.56298
586.75_847.6814m/z,2.0234,0.14159,0.84895,0.56298
336.25_1512.1379m/z,2.0224,0.14172,0.84857,0.56324
496.52_814.6892m/z,2.0209,0.14192,0.84794,0.5634
505.19_656.583m/z,2.0207,0.14195,0.84787,0.5634
609.44_935.7905m/z,2.0205,0.14198,0.84778,0.5634
PC(18:2/20:4),2.0203,0.142,0.84771,0.5634
376.97_783.5747m/z,2.0193,0.14213,0.84731,0.56352
397.05_1692.1518m/z,2.0188,0.14221,0.84707,0.56352
417.12_858.6201m/z,2.0187,0.14222,0.84705,0.56352
131.04_438.2984m/z,2.0175,0.14238,0.84655,0.5638
375.83_844.4893m/z,2.0173,0.14241,0.84647,0.5638
652.57_890.819m/z,2.016,0.14258,0.84595,0.56411
221.27_396.3372m/z,2.0147,0.14275,0.84542,0.56411
430.01_441.8299m/z,2.0147,0.14275,0.84541,0.56411
397.28_1626.2206m/z,2.0146,0.14276,0.84538,0.56411
601.81_832.7403m/z,2.0144,0.14279,0.8453,0.56411
384.04_809.5908m/z,2.0137,0.14288,0.84502,0.56423
182.94_503.3198m/z,2.0115,0.14317,0.84414,0.56501
LacCer(d42:3),2.0113,0.1432,0.84406,0.56501
321.19_425.7715m/z,2.0102,0.14334,0.84362,0.56519
413.02_415.7874m/z,2.0101,0.14337,0.84355,0.56519
496.28_1152.5808m/z,2.0067,0.14382,0.84219,0.56673
81.87_457.2316m/z,2.0058,0.14394,0.84183,0.56675
100.36_658.3121m/z,2.0057,0.14395,0.8418,0.56675
278.65_877.4877m/z,2.0043,0.14414,0.84121,0.5671
366.48_1604.1688m/z,2.0042,0.14416,0.84116,0.5671
TG(53:2),2.0032,0.14429,0.84075,0.5672
533.25_615.6233m/z,2.0028,0.14434,0.84061,0.5672
452.14_802.6793m/z,2.0026,0.14437,0.84054,0.5672
636.48_886.7166m/z,2.0021,0.14444,0.84032,0.56724
250.12_388.2736m/z,2.0015,0.14452,0.84007,0.56731
684.39_908.8653m/z,2.0011,0.14458,0.8399,0.56731
425.68_429.3234m/z,2.0001,0.14471,0.8395,0.56759
541.69_714.5785m/z,1.9974,0.14508,0.8384,0.56879
330.09_548.4018m/z,1.9962,0.14524,0.83792,0.56896
674.12_928.7839m/z,1.9961,0.14524,0.8379,0.56896
111.99_312.1713m/z,1.995,0.1454,0.83742,0.56935
329.86_349.739m/z,1.9937,0.14558,0.83691,0.56944
305.22_393.3515m/z,1.9936,0.14559,0.83686,0.56944
618.57_971.7394m/z,1.9934,0.14561,0.8368,0.56944
533.02_633.6379m/z,1.9926,0.14573,0.83646,0.56965
357.7_760.0817m/z,1.9912,0.14592,0.83588,0.57018
406.63_605.5426m/z,1.9902,0.14606,0.83547,0.57047
380.62_1082.4853m/z,1.9891,0.1462,0.83506,0.57077
652.57_891.8223m/z,1.9878,0.14638,0.83452,0.57124
480.89_918.6957m/z,1.9873,0.14645,0.83431,0.57128
425.68_436.8228m/z,1.9859,0.14664,0.83375,0.57141
496.52_410.3991m/z,1.9859,0.14664,0.83375,0.57141
588.57_575.5036m/z,1.9853,0.14672,0.83352,0.57141
302.6_702.5631m/z,1.9849,0.14678,0.83335,0.57141
L4PL,1.9848,0.14679,0.8333,0.57141
684.39_909.8687m/z,1.9837,0.14695,0.83284,0.57178
328.49_877.5196m/z,1.9818,0.1472,0.8321,0.57239
623.82_383.3676m/z,1.9816,0.14723,0.83199,0.57239
606.7_801.6863m/z,1.9811,0.1473,0.8318,0.57239
311.84_790.5616m/z,1.9799,0.14747,0.83131,0.57239
173.47_649.5134m/z,1.9795,0.14752,0.83115,0.57239
374.46_740.523m/z,1.9795,0.14752,0.83114,0.57239
349.71_795.574m/z,1.9794,0.14754,0.8311,0.57239
391.34_753.564m/z,1.9782,0.1477,0.83062,0.57278
286.86_576.5068m/z,1.9766,0.14793,0.82996,0.57324
458.08_867.6694m/z,1.9765,0.14794,0.82991,0.57324
647.32_589.5207m/z,1.9748,0.14817,0.82923,0.57378
472.22_908.6486m/z,1.9745,0.14821,0.82912,0.57378
512.03_645.637m/z,1.9736,0.14834,0.82874,0.57378
247.84_380.3079m/z,1.9734,0.14837,0.82865,0.57378
112.68_496.2434m/z,1.9732,0.14839,0.8286,0.57378
588.57_576.5071m/z,1.9726,0.14848,0.82835,0.57387
379.25_521.3467m/z,1.9712,0.14868,0.82776,0.57388
Eicosapentaenoic acid FA(20:5),1.9705,0.14877,0.82749,0.57388
351.31_524.5314m/z,1.9704,0.14879,0.82743,0.57388
480.66_904.7078m/z,1.9703,0.1488,0.8274,0.57388
581.96_710.5549m/z,1.9699,0.14885,0.82724,0.57388
352.68_400.2876m/z,1.969,0.14898,0.82687,0.57388
636.14_869.7475m/z,1.9684,0.14905,0.82666,0.57388
375.83_845.4926m/z,1.9674,0.1492,0.82622,0.57388
Octanoylcarnitine CAR(8:0),1.9668,0.14929,0.82598,0.57388
491.04_856.6873m/z,1.9667,0.1493,0.82594,0.57388
430.92_954.6147m/z,1.9666,0.14932,0.82589,0.57388
396.82_854.5916m/z,1.9665,0.14932,0.82588,0.57388
466.52_424.3234m/z,1.9663,0.14935,0.82578,0.57388
592.22_960.8425m/z,1.9658,0.14943,0.82556,0.57388
336.48_704.4912m/z,1.9656,0.14945,0.8255,0.57388
380.62_752.5583m/z,1.9655,0.14947,0.82546,0.57388
112.68_989.6591m/z,1.9644,0.14963,0.82499,0.57426
302.6_815.5328m/z,1.9629,0.14983,0.82441,0.57459
303.4_719.5634m/z,1.9629,0.14984,0.82438,0.57459
336.25_857.4742m/z,1.9613,0.15005,0.82376,0.57469
81.87_452.1955m/z,1.9613,0.15005,0.82375,0.57469
652.57_895.7743m/z,1.9613,0.15006,0.82375,0.57469
LPC(22:5/0:0)_2,1.9601,0.15022,0.82326,0.57469
430.7_812.0113m/z,1.9599,0.15026,0.82317,0.57469
302.6_701.5597m/z,1.9596,0.15029,0.82306,0.57469
320.74_1007.6726m/z,1.9589,0.15039,0.82277,0.57469
652.57_896.7778m/z,1.9581,0.1505,0.82245,0.57469
656.22_933.7907m/z,1.9577,0.15056,0.82228,0.57469
436.17_574.5562m/z,1.9567,0.15071,0.82187,0.57469
378.57_718.5754m/z,1.9564,0.15074,0.82177,0.57469
371.27_830.5693m/z,1.9561,0.15078,0.82166,0.57469
480.89_903.705m/z,1.9559,0.15081,0.82156,0.57469
421.46_819.6087m/z,1.9556,0.15086,0.82143,0.57469
357.7_1557.116m/z,1.9552,0.15092,0.82126,0.57469
478.84_823.6688m/z,1.9542,0.15106,0.82086,0.57469
382.67_870.5047m/z,1.9538,0.15111,0.82071,0.57469
342.41_390.2746m/z,1.9537,0.15113,0.82066,0.57469
321.19_435.3739m/z,1.9531,0.15121,0.82043,0.57469
656.22_928.8345m/z,1.9531,0.15121,0.82042,0.57469
304.99_395.3675m/z,1.9525,0.1513,0.82017,0.57469
328.72_839.5635m/z,1.9522,0.15134,0.82005,0.57469
397.51_849.5625m/z,1.9522,0.15134,0.82004,0.57469
538.95_711.6326m/z,1.952,0.15137,0.81997,0.57469
656.22_972.9383m/z,1.9514,0.15145,0.81973,0.57469
512.48_720.65m/z,1.9512,0.15147,0.81966,0.57469
496.52_392.3892m/z,1.9497,0.15169,0.81903,0.5753
429.56_850.6584m/z,1.9489,0.1518,0.81873,0.57541
372.64_824.5828m/z,1.9483,0.1519,0.81845,0.57541
379.94_860.6182m/z,1.9477,0.15197,0.81824,0.57541
627.47_853.7278m/z,1.9477,0.15197,0.81824,0.57541
417.58_579.5354m/z,1.9466,0.15214,0.81777,0.57546
425.68_427.8162m/z,1.9463,0.15217,0.81767,0.57546
456.71_200.8583m/z,1.9463,0.15217,0.81767,0.57546
582.87_740.6771m/z,1.9458,0.15225,0.81746,0.57547
588.8_815.6487m/z,1.945,0.15236,0.81712,0.57547
420.32_530.2635m/z,1.9449,0.15238,0.81708,0.57547
321.19_151.076m/z,1.9442,0.15247,0.81681,0.57547
372.64_816.5904m/z,1.944,0.1525,0.81673,0.57547
334.42_100.933m/z,1.9437,0.15254,0.8166,0.57547
545.45_723.6697m/z,1.9431,0.15264,0.81634,0.57558
321.19_418.3713m/z,1.9425,0.15271,0.81612,0.57564
93.28_409.2353m/z,1.9419,0.15281,0.81585,0.57576
435.94_429.3731m/z,1.9411,0.15292,0.81555,0.57591
397.51_848.5588m/z,1.9407,0.15297,0.81538,0.57591
614.92_975.8215m/z,1.9395,0.15315,0.81487,0.57636
81.87_441.2404m/z,1.9374,0.15345,0.81404,0.57719
341.72_878.531m/z,1.9368,0.15354,0.81379,0.57719
287.77_850.4627m/z,1.9366,0.15357,0.8137,0.57719
PE(18:1/18:2),1.9358,0.15367,0.8134,0.57719
577.85_779.6945m/z,1.9357,0.15369,0.81336,0.57719
627.47_854.7313m/z,1.9352,0.15377,0.81313,0.57728
674.81_934.873m/z,1.9333,0.15404,0.81237,0.5777
608.99_844.6707m/z,1.933,0.15409,0.81223,0.5777
334.2_828.5535m/z,1.933,0.15409,0.81223,0.5777
674.8_634.586m/z,1.9324,0.15417,0.81201,0.5777
588.8_996.7946m/z,1.932,0.15422,0.81185,0.5777
374.46_741.5262m/z,1.9318,0.15426,0.81175,0.5777
323.93_830.5712m/z,1.9308,0.1544,0.81134,0.57784
332.83_902.532m/z,1.9302,0.15449,0.8111,0.57784
367.39_889.5795m/z,1.9297,0.15456,0.81091,0.57784
350.62_740.5581m/z,1.9291,0.15465,0.81065,0.57784
124.65_481.3111m/z,1.9288,0.15468,0.81055,0.57784
516.59_708.6157m/z,1.9285,0.15473,0.81042,0.57784
615.83_813.6955m/z,1.9273,0.15491,0.80993,0.57784
425.9_428.3195m/z,1.9263,0.15505,0.80954,0.57784
302.6_698.5336m/z,1.9263,0.15505,0.80954,0.57784
425.68_428.8218m/z,1.9263,0.15505,0.80953,0.57784
SM(d18:2/16:0)_1,1.9262,0.15507,0.80948,0.57784
286.17_398.3504m/z,1.9257,0.15514,0.80927,0.57784
TG(49:3),1.9254,0.15518,0.80916,0.57784
504.5_657.586m/z,1.9252,0.15522,0.80906,0.57784
517.51_617.6064m/z,1.9249,0.15526,0.80894,0.57784
456.02_633.5029m/z,1.9246,0.15529,0.80885,0.57784
483.52_662.6088m/z,1.9242,0.15535,0.80868,0.57784
674.12_605.5508m/z,1.9236,0.15544,0.80843,0.57794
328.03_773.533m/z,1.923,0.15553,0.80819,0.57803
653.02_955.8532m/z,1.9206,0.15588,0.80722,0.5791
436.63_872.6388m/z,1.919,0.15612,0.80654,0.57972
278.42_796.524m/z,1.9177,0.15631,0.80601,0.57972
482.03_654.5673m/z,1.9175,0.15634,0.80594,0.57972
176.21_445.3319m/z,1.9168,0.15643,0.80568,0.57972
383.13_707.5791m/z,1.9167,0.15646,0.80561,0.57972
403.44_408.7963m/z,1.9166,0.15646,0.80559,0.57972
100.81_533.2277m/z,1.9165,0.15648,0.80553,0.57972
345.6_827.5591m/z,1.9154,0.15664,0.80511,0.58006
396.13_1005.5411m/z,1.9148,0.15673,0.80484,0.58018
304.99_396.371m/z,1.9134,0.15694,0.80426,0.58058
435.72_768.5533m/z,1.9132,0.15696,0.8042,0.58058
427.05_1550.2566m/z,1.9125,0.15707,0.80391,0.58073
416.22_265.2544m/z,1.9121,0.15713,0.80374,0.58073
103.55_456.226m/z,1.9114,0.15724,0.80345,0.58075
315.49_690.5632m/z,1.9109,0.15731,0.80326,0.58075
392.94_735.6277m/z,1.9106,0.15736,0.80312,0.58075
592.22_959.8385m/z,1.9104,0.15739,0.80304,0.58075
142.67_328.2358m/z,1.9099,0.15745,0.80285,0.58077
103.55_475.2688m/z,1.9086,0.15765,0.80231,0.58126
103.55_236.1212m/z,1.9069,0.1579,0.80163,0.58179
302.6_704.5667m/z,1.9063,0.15799,0.80137,0.58179
323.93_832.5783m/z,1.9062,0.15799,0.80136,0.58179
595.19_670.5618m/z,1.9059,0.15804,0.80123,0.58179
346.29_116.9273m/z,1.9042,0.15829,0.80054,0.58248
334.2_809.5806m/z,1.903,0.15848,0.80002,0.58262
70.01_373.2737m/z,1.9026,0.15853,0.79988,0.58262
150.2_255.211m/z,1.9026,0.15854,0.79986,0.58262
329.63_726.4722m/z,1.9022,0.1586,0.7997,0.58262
302.6_703.5659m/z,1.9013,0.15873,0.79935,0.58262
388.83_1560.1879m/z,1.9013,0.15873,0.79934,0.58262
396.59_906.5625m/z,1.8999,0.15894,0.79877,0.58262
413.47_750.5436m/z,1.8998,0.15895,0.79875,0.58262
640.24_920.7775m/z,1.8993,0.15903,0.79853,0.58262
357.24_1562.1203m/z,1.8992,0.15904,0.79849,0.58262
220.81_435.3477m/z,1.8989,0.15908,0.79839,0.58262
409.6_749.6162m/z,1.8987,0.15911,0.7983,0.58262
350.4_383.2675m/z,1.8985,0.15915,0.7982,0.58262
329.63_797.5536m/z,1.8974,0.15931,0.79775,0.58284
611.27_1091.6287m/z,1.8967,0.15941,0.79748,0.58284
376.97_779.5629m/z,1.8966,0.15943,0.79742,0.58284
586.29_768.6988m/z,1.8964,0.15946,0.79735,0.58284
357.01_784.5773m/z,1.8958,0.15954,0.79712,0.58289
357.35_927.5327m/z,1.8951,0.15965,0.79683,0.58289
112.68_500.3537m/z,1.895,0.15966,0.7968,0.58289
675.03_938.8255m/z,1.8941,0.15981,0.7964,0.58303
439.14_752.5595m/z,1.894,0.15983,0.79636,0.58303
120.89_637.3314m/z,1.8918,0.16014,0.7955,0.58395
675.03_955.8018m/z,1.8909,0.16029,0.7951,0.58395
647.09_1148.6947m/z,1.8896,0.16047,0.7946,0.58395
271.57_368.3399m/z,1.8895,0.16049,0.79456,0.58395
622.68_907.7723m/z,1.889,0.16056,0.79435,0.58395
471.54_645.6353m/z,1.889,0.16057,0.79434,0.58395
409.6_747.6101m/z,1.8884,0.16065,0.79411,0.58395
421.23_409.1448m/z,1.8883,0.16067,0.79407,0.58395
336.25_845.5179m/z,1.8883,0.16067,0.79407,0.58395
471.77_828.7043m/z,1.8881,0.16071,0.79397,0.58395
386.1_1565.2006m/z,1.8869,0.16089,0.79348,0.58438
103.32_476.2775m/z,1.8862,0.161,0.79318,0.58455
256.97_383.3309m/z,1.8854,0.1611,0.79289,0.58471
482.95_666.6394m/z,1.8837,0.16136,0.7922,0.58541
342.41_397.768m/z,1.8828,0.16151,0.79181,0.58541
659.41_915.8941m/z,1.8822,0.1616,0.79155,0.58541
329.63_894.5267m/z,1.882,0.16162,0.7915,0.58541
601.81_833.7436m/z,1.8818,0.16166,0.7914,0.58541
447.58_876.6766m/z,1.8817,0.16167,0.79136,0.58541
